,y_true,y_pred,time,perf_eval,perf_cmp,instances,strategy,a_new,a_old,seed
0,False,False,0.5735156552065824,63308.842,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,1,57,6
1,False,False,0.6249995659768638,72000.77,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,2,57,6
2,False,False,0.5736183044264388,63324.224,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,3,57,6
3,False,False,0.5740077073578729,50363.822,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,6,57,6
4,False,False,0.6249999652779418,72000.34,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,7,57,6
5,False,False,0.6466243399397394,54478.738,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,8,57,6
6,False,False,0.7104158445385886,43700.105,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,9,57,6
7,False,False,0.5771681145917391,48899.85999999999,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,14,57,6
8,False,False,0.5816197586525301,64535.17,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,17,57,6
9,False,False,0.6363105846251376,59752.990000000005,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,19,57,6
10,False,False,0.7298327112036264,49473.606,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,22,57,6
11,False,False,0.599395955824558,57359.381,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,23,57,6
12,False,False,0.5122598756966096,55357.943,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,24,57,6
13,False,False,0.5728307220528199,63207.495,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,25,57,6
14,False,False,0.5725531157992346,63166.281,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,27,57,6
15,False,False,0.6002427535920751,67541.73999999999,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,28,57,6
16,False,False,0.5743495278250491,63432.844,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,29,57,6
17,False,False,0.5774176614459103,63893.489,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,30,57,6
18,False,False,0.6250010242985845,72000.49,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,33,57,6
19,False,False,0.4868929341122223,38791.2218,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,34,57,6
20,False,False,0.579282987221866,64176.82000000001,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,35,57,6
21,False,False,0.5127508007637901,55413.65699999999,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,36,57,6
22,False,False,0.521338045704698,56408.118,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,37,57,6
23,False,False,0.6049518441597921,46580.02,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,38,57,6
24,False,False,0.6249999131952282,72000.65,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,39,57,6
25,False,False,0.5753216520131512,63578.259,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,40,57,6
26,False,False,0.573654233410865,63329.537,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,44,57,6
27,False,False,0.5722999990400596,63128.92199999999,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,46,57,6
28,False,False,0.5403001870489731,40409.738000000005,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,48,57,6
29,False,False,0.6041350754424152,51617.05100000001,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,50,57,6
30,False,False,0.6012602346075302,48346.871,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,51,57,6
31,False,False,0.5717201998215126,63043.3422,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,52,57,6
32,False,False,0.5722006371754956,63114.166,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,55,57,6
33,False,False,0.5988550491036017,67307.69,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,56,57,6
34,False,False,0.5769153294913987,63817.67499999999,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,59,57,6
35,False,False,0.6154866706041737,51352.28999999999,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,60,57,6
36,False,False,0.6555019775217871,52250.372500000005,462.4757,16,1.12-discrimination-based + Wilcoxon 10100%,63,57,6
37,False,False,0.5730477156496715,63239.315,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,64,57,6
38,False,False,0.5848420352776706,65036.04,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,65,57,6
39,False,False,0.5980830909755254,46553.07,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,66,57,6
40,False,False,0.6250002430538677,72000.5,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,67,57,6
41,False,False,0.5762122449753488,63711.586,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,68,57,6
42,False,False,0.5742309685094521,63415.251,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,69,57,6
43,False,False,0.5093353736054836,55027.953,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,70,57,6
44,False,False,0.5743469339820335,63432.293,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,71,57,6
45,False,False,0.3806204203578698,43592.38,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,72,57,6
46,False,False,0.6250005729113354,72000.67,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,73,57,6
47,False,False,0.6793986676894919,56145.2751,462.4757,16,1.12-discrimination-based + Wilcoxon 10100%,79,57,6
48,False,False,0.6056483774406669,68467.45000000001,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,80,57,6
49,False,False,0.5952213687952768,66703.62,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,83,57,6
50,False,False,0.5805104449446846,64364.630000000005,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,87,57,6
51,False,False,0.5529803236502648,21301.512,462.4757,16,1.12-discrimination-based + Wilcoxon 10100%,89,57,6
52,False,False,0.5850412996419853,65067.15,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,90,57,6
53,False,False,0.5734898443986587,63304.917,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,91,57,6
54,False,False,0.5721176513152267,63102.15900000001,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,92,57,6
55,False,False,0.5254876646019226,56900.839,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,93,57,6
56,False,False,0.9999999999999998,27820.5465,462.4757,18,1.12-discrimination-based + Wilcoxon 10100%,95,57,6
57,False,False,0.552269976537924,58034.08,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,96,57,6
58,False,False,0.6249999652781731,72000.82,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,98,57,6
59,False,False,0.6249985243188778,72000.65,462.4757,15,1.12-discrimination-based + Wilcoxon 10100%,99,57,6
60,False,False,0.5943811871971801,46731.58,699.5775,77,random + Wilcoxon 10100%,0,57,2
61,False,False,0.534259920364328,64548.209,699.5775,88,random + Wilcoxon 10100%,1,57,2
62,False,False,0.500000555550247,90000.86,699.5775,104,random + Wilcoxon 10100%,2,57,2
63,False,False,0.6669181880295367,66886.3,699.5775,71,random + Wilcoxon 10100%,4,57,2
64,False,False,0.5000006666613334,90000.72,699.5775,59,random + Wilcoxon 10100%,5,57,2
65,False,False,0.419043700805795,28146.735,699.5775,67,random + Wilcoxon 10100%,6,57,2
66,False,False,0.5468496305574212,82290.19,699.5775,80,random + Wilcoxon 10100%,7,57,2
67,False,False,0.5385901578313695,63015.98999999999,699.5775,72,random + Wilcoxon 10100%,8,57,2
68,False,False,0.6920771816562583,39718.505,699.5775,51,random + Wilcoxon 10100%,9,57,2
69,False,False,0.5000003333298518,90000.94,699.5775,43,random + Wilcoxon 10100%,11,57,2
70,False,False,0.5803688565437677,50708.386,699.5775,51,random + Wilcoxon 10100%,12,57,2
71,False,False,0.5071746085940172,56764.7621,699.5775,73,random + Wilcoxon 10100%,13,57,2
72,False,False,0.4925051504490401,41481.82,699.5775,79,random + Wilcoxon 10100%,14,57,2
73,False,False,0.4976371510024327,73013.976,699.5775,96,random + Wilcoxon 10100%,16,57,2
74,False,False,0.4129529740857466,68126.331,699.5775,95,random + Wilcoxon 10100%,17,57,2
75,False,False,0.4882685278341742,74299.456,699.5775,77,random + Wilcoxon 10100%,19,57,2
76,False,False,0.624486977573285,56589.875,699.5775,79,random + Wilcoxon 10100%,23,57,2
77,False,False,0.5847977670145217,54921.629,699.5775,97,random + Wilcoxon 10100%,24,57,2
78,False,False,0.3735272834189549,71831.54000000001,699.5775,53,random + Wilcoxon 10100%,25,57,2
79,False,False,0.5916243461155145,47231.584,699.5775,45,random + Wilcoxon 10100%,27,57,2
80,False,False,0.5000000555550926,90000.75,699.5775,82,random + Wilcoxon 10100%,28,57,2
81,False,False,0.3720319702938928,57700.189,699.5775,115,random + Wilcoxon 10100%,29,57,2
82,False,False,0.5017458903842265,70459.75,699.5775,97,random + Wilcoxon 10100%,32,57,2
83,False,False,0.4750870196417047,71760.523,699.5775,114,random + Wilcoxon 10100%,35,57,2
