,y_true,y_pred,time,perf_eval,perf_cmp,instances,strategy,a_new,a_old,seed
0,False,False,0.24261177586595692,622.1759,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,0,25,1
1,False,False,0.4960472236332841,1602.4180000000001,67.7599,7,1.34-discrimination-based + Wilcoxon 10100%,1,25,1
2,False,False,0.5603795179661691,2730.4847,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,3,25,1
3,False,False,0.4758237602658732,2289.7833,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,4,25,1
4,False,False,0.6000055319245365,3000.764,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,5,25,1
5,True,True,1.0,47.0507,67.7599,10,1.34-discrimination-based + Wilcoxon 10100%,6,25,1
6,False,False,0.6000193935161011,3001.0029999999997,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,7,25,1
7,False,False,0.10886827656058426,844.155,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,9,25,1
8,False,False,0.20894066612330692,298.7585,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,10,25,1
9,False,False,0.36246502830157773,1882.9868999999999,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,11,25,1
10,False,False,0.14764928597815563,1012.1329,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,14,25,1
11,False,False,0.6000445908291527,3000.617,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,15,25,1
12,False,False,0.5243053383972213,2523.1206,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,16,25,1
13,False,False,0.9999999999999999,184.1821,67.7599,100,1.34-discrimination-based + Wilcoxon 10100%,17,25,1
14,False,False,1.0,120.9837,67.7599,10,1.34-discrimination-based + Wilcoxon 10100%,18,25,1
15,False,False,0.32627605030883494,1166.157,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,19,25,1
16,False,False,0.19570967116447488,665.287,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,20,25,1
17,False,False,0.5999792696863824,3000.437,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,21,25,1
18,False,False,0.477925167094748,2300.5361000000003,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,22,25,1
19,False,False,0.362402651227773,375.9164,67.7599,7,1.34-discrimination-based + Wilcoxon 10100%,23,25,1
20,False,False,0.5494566697681517,712.9918,67.7599,7,1.34-discrimination-based + Wilcoxon 10100%,24,25,1
21,False,False,0.41297287797155596,1653.4604,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,26,25,1
22,False,False,0.9999999999999998,69.74390000000001,67.7599,100,1.34-discrimination-based + Wilcoxon 10100%,28,25,1
23,False,False,0.6744541593517215,2363.9957999999997,67.7599,7,1.34-discrimination-based + Wilcoxon 10100%,29,25,1
24,False,False,0.9999999999999999,448.7829,67.7599,100,1.34-discrimination-based + Wilcoxon 10100%,31,25,1
25,False,False,0.5999621436933427,3000.821,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,33,25,1
26,True,True,1.0,57.622600000000006,67.7599,100,1.34-discrimination-based + Wilcoxon 10100%,34,25,1
27,True,True,0.1857173223666801,46.1034,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,35,25,1
28,False,False,1.0000000000000002,273.45619999999997,67.7599,10,1.34-discrimination-based + Wilcoxon 10100%,36,25,1
29,False,False,0.2852010416412247,429.89849999999996,67.7599,7,1.34-discrimination-based + Wilcoxon 10100%,37,25,1
30,False,False,0.5999989336415108,3000.867,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,39,25,1
31,False,False,0.396427765125479,1988.3519000000003,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,41,25,1
32,False,False,0.5999775403631997,3000.939,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,43,25,1
33,False,False,0.9999999999999998,151.72060000000002,67.7599,100,1.34-discrimination-based + Wilcoxon 10100%,44,25,1
34,False,False,0.15577653492051358,934.0842,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,46,25,1
35,False,False,0.5971856953158794,2979.919,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,47,25,1
36,True,True,0.21174665780205565,44.5216,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,48,25,1
37,True,True,1.0,54.439899999999994,67.7599,100,1.34-discrimination-based + Wilcoxon 10100%,49,25,1
38,False,False,0.9999999999999998,536.1843,67.7599,100,1.34-discrimination-based + Wilcoxon 10100%,50,25,1
39,False,False,0.4239479193805429,1736.0623,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,51,25,1
40,True,True,1.0,53.3373,67.7599,10,1.34-discrimination-based + Wilcoxon 10100%,52,25,1
41,False,False,0.7495420042265146,162.11939999999998,67.7599,9,1.34-discrimination-based + Wilcoxon 10100%,55,25,1
42,False,False,0.6000093985025052,3000.478,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,56,25,1
43,False,False,0.2748070348792176,286.60619999999994,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,57,25,1
44,False,False,1.0,98.84140000000001,67.7599,100,1.34-discrimination-based + Wilcoxon 10100%,58,25,1
45,False,False,0.29081410186907314,299.7475,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,59,25,1
46,False,False,0.5200186646946384,2500.9785,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,60,25,1
47,False,False,0.5080823735608996,850.8701,67.7599,8,1.34-discrimination-based + Wilcoxon 10100%,61,25,1
48,False,False,0.17967322815374626,598.5889,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,62,25,1
49,False,False,0.5457131287442712,2642.37,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,63,25,1
50,False,False,0.532497919462771,2567.4858999999997,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,65,25,1
51,False,False,0.4445763127352081,2160.8260999999998,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,66,25,1
52,False,False,0.6000021994508704,3000.749,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,67,25,1
53,False,False,0.49084776539868136,2357.02,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,68,25,1
54,False,False,0.4371343565648504,2132.6617,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,69,25,1
55,False,False,0.29273584198794,679.3203,67.7599,7,1.34-discrimination-based + Wilcoxon 10100%,70,25,1
56,False,False,0.7420000903901552,196.9241,67.7599,9,1.34-discrimination-based + Wilcoxon 10100%,71,25,1
57,True,True,0.9999999999999999,46.673500000000004,67.7599,100,1.34-discrimination-based + Wilcoxon 10100%,72,25,1
58,False,False,0.600074771437311,3001.146,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,73,25,1
59,False,False,0.9999999999999998,76.5369,67.7599,100,1.34-discrimination-based + Wilcoxon 10100%,74,25,1
60,False,False,0.5999855383177932,3001.0339999999997,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,76,25,1
61,False,False,1.0,138.4772,67.7599,100,1.34-discrimination-based + Wilcoxon 10100%,77,25,1
62,False,False,0.36620995719432686,236.3939,67.7599,8,1.34-discrimination-based + Wilcoxon 10100%,79,25,1
63,False,False,0.3889768512145888,138.75889999999998,67.7599,7,1.34-discrimination-based + Wilcoxon 10100%,80,25,1
64,False,False,0.23269453271553356,789.0151000000001,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,84,25,1
65,False,False,0.5136610861863321,2468.4494000000004,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,85,25,1
66,False,False,0.4098062261954396,1233.3246,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,87,25,1
67,False,False,0.5363467321098013,2588.7513,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,88,25,1
68,True,True,1.0,56.6233,67.7599,100,1.34-discrimination-based + Wilcoxon 10100%,89,25,1
69,False,False,0.4807877751052075,2311.7156,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,90,25,1
70,False,False,0.6000295947025484,3000.537,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,91,25,1
71,False,False,0.7530165498777441,519.4842,67.7599,9,1.34-discrimination-based + Wilcoxon 10100%,92,25,1
72,False,False,1.0,103.9649,67.7599,100,1.34-discrimination-based + Wilcoxon 10100%,93,25,1
73,False,False,0.5999871373464812,3000.936,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,94,25,1
74,False,False,0.22085895722019533,1416.1916,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,95,25,1
75,False,False,0.9999999999999999,361.83070000000004,67.7599,100,1.34-discrimination-based + Wilcoxon 10100%,96,25,1
76,False,False,0.5999085668283519,3001.099,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,98,25,1
77,False,False,0.6000321252377734,3000.756,67.7599,6,1.34-discrimination-based + Wilcoxon 10100%,99,25,1
78,False,False,0.39459306960666063,757.1172,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,0,6,4
79,False,False,0.5320370760782513,1282.5952,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,1,6,4
80,False,False,0.6140717795936256,1555.2943999999998,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,2,6,4
81,False,False,0.6580993547955624,1755.4281,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,3,6,4
82,False,False,0.6876461612018986,1921.6796,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,4,6,4
83,False,False,0.7499973963399621,2400.467,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,5,6,4
84,False,False,0.7499928144131625,2400.639,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,7,6,4
85,False,False,0.6391607995646974,1448.1879999999999,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,8,6,4
86,False,False,0.39979846485699694,1000.0241,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,9,6,4
87,False,False,0.26193215749729015,497.99460000000005,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,10,6,4
88,False,False,0.6777036503900437,1862.2147,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,11,6,4
89,False,False,0.7499011180529709,2401.854,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,12,6,4
90,False,False,0.40302695712722575,1005.3,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,14,6,4
91,False,False,0.7499862528868939,2400.5039999999995,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,15,6,4
92,False,False,0.7029240492037643,2020.3251,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,16,6,4
93,False,False,0.31318480091045847,436.8788,91.7356,7,1.12-discrimination-based + Wilcoxon 10100%,18,6,4
94,False,False,0.5635873237587261,1375.4298000000001,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,19,6,4
95,False,False,0.4817200804956549,1158.2737,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,20,6,4
96,False,False,0.7216363552196134,2155.8742,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,22,6,4
97,False,False,0.24460780557824996,696.9425999999999,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,23,6,4
98,False,False,0.45846495696646794,1108.7168,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,24,6,4
99,False,False,1.0,154.892,91.7356,100,1.12-discrimination-based + Wilcoxon 10100%,25,6,4
100,False,False,0.6080409427866292,1531.0145000000002,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,26,6,4
101,False,False,0.48276539553660247,580.2396,91.7356,7,1.12-discrimination-based + Wilcoxon 10100%,27,6,4
102,False,False,0.7752443646255336,1815.4428000000003,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,29,6,4
103,False,False,1.0,666.8233,91.7356,8,1.12-discrimination-based + Wilcoxon 10100%,30,6,4
104,False,False,0.5832472784518862,700.1346,91.7356,7,1.12-discrimination-based + Wilcoxon 10100%,31,6,4
105,False,False,0.6842914999647831,1901.0733,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,32,6,4
106,False,False,1.0,170.4793,91.7356,100,1.12-discrimination-based + Wilcoxon 10100%,34,6,4
107,False,True,0.1052548438688026,152.564,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,35,6,4
108,False,False,0.2876428772772453,636.4378,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,38,6,4
109,False,False,0.7498780664060142,2400.897,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,39,6,4
110,False,False,0.646465753243895,1697.5272,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,40,6,4
111,False,False,0.602570523616841,1287.831,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,41,6,4
112,False,False,0.7970216729663636,1563.0116999999998,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,42,6,4
113,False,False,1.0,363.765,91.7356,100,1.12-discrimination-based + Wilcoxon 10100%,44,6,4
114,False,False,0.7485488011690027,2386.992,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,45,6,4
115,False,False,0.6735814633427559,1031.556,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,46,6,4
116,False,True,0.10676931404685293,149.6385,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,48,6,4
117,False,False,1.0,188.6289,91.7356,100,1.12-discrimination-based + Wilcoxon 10100%,49,6,4
118,False,False,0.9999999999999999,937.3888000000001,91.7356,9,1.12-discrimination-based + Wilcoxon 10100%,50,6,4
119,False,False,0.6233022479602557,1593.1287,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,51,6,4
120,False,True,0.11981647586081712,175.7371,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,52,6,4
121,False,False,0.749986149590257,2400.651,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,53,6,4
122,False,False,0.17330031284308403,726.4984,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,55,6,4
123,False,False,0.7499403246091313,2400.487,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,56,6,4
124,False,False,0.2888532760705755,844.0156999999999,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,59,6,4
125,False,False,0.6846544864331777,1903.0396,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,60,6,4
126,False,False,0.40154814849538756,501.3085,91.7356,7,1.12-discrimination-based + Wilcoxon 10100%,61,6,4
127,False,False,0.7118464543413505,2082.716,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,63,6,4
128,False,False,0.27424481246871524,439.91060000000004,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,64,6,4
129,False,False,0.6959222143304535,1973.5049,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,65,6,4
130,False,False,0.6156750397619926,1562.1702,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,66,6,4
131,False,False,0.7055668288317637,2038.252,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,68,6,4
132,False,False,0.7826980542659687,1687.7280999999998,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,69,6,4
133,False,False,0.21769654223853308,767.0425,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,70,6,4
134,False,False,0.22733606634943562,776.6999000000001,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,71,6,4
135,True,True,1.0,86.46690000000001,91.7356,100,1.12-discrimination-based + Wilcoxon 10100%,72,6,4
136,False,False,1.0,309.6324,91.7356,100,1.12-discrimination-based + Wilcoxon 10100%,74,6,4
137,False,False,0.7122243184376864,2086.0344999999998,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,75,6,4
138,False,False,0.7499780277637428,2400.757,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,76,6,4
139,False,False,1.0,662.1270999999999,91.7356,100,1.12-discrimination-based + Wilcoxon 10100%,77,6,4
140,False,False,0.1873975450399218,596.1156,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,79,6,4
141,False,False,0.5187120306600378,1078.4853,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,81,6,4
142,False,False,0.5903631331051254,732.6074000000001,91.7356,7,1.12-discrimination-based + Wilcoxon 10100%,82,6,4
143,False,False,1.0,302.1874,91.7356,100,1.12-discrimination-based + Wilcoxon 10100%,83,6,4
144,False,False,0.3656088954622121,946.1813,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,84,6,4
145,False,False,0.7169451148500599,2120.3167000000003,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,85,6,4
146,False,False,0.3340641309029531,731.8032000000001,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,86,6,4
147,False,False,0.7391082443683271,2300.249,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,88,6,4
148,False,False,0.7499674014158408,2400.411,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,91,6,4
149,False,False,1.0,250.26479999999998,91.7356,8,1.12-discrimination-based + Wilcoxon 10100%,93,6,4
150,False,False,0.7500289509749606,2400.61,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,94,6,4
151,False,False,0.6697521007917837,1116.3528999999999,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,95,6,4
152,False,False,0.6228398929774799,1591.067,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,97,6,4
153,False,False,0.7500001041333006,2400.7690000000002,91.7356,6,1.12-discrimination-based + Wilcoxon 10100%,99,6,4
154,False,False,0.39459306960666063,757.1172,91.7356,6,1.01-discrimination-based + Wilcoxon 10100%,0,6,4
155,False,False,0.5320370760782513,1282.5952,91.7356,6,1.01-discrimination-based + Wilcoxon 10100%,1,6,4
156,False,False,0.6140717795936256,1555.2943999999998,91.7356,6,1.01-discrimination-based + Wilcoxon 10100%,2,6,4
157,False,False,0.6580993547955624,1755.4281,91.7356,6,1.01-discrimination-based + Wilcoxon 10100%,3,6,4
158,False,False,0.6876461612018986,1921.6796,91.7356,6,1.01-discrimination-based + Wilcoxon 10100%,4,6,4
159,False,False,0.7499973963399621,2400.467,91.7356,6,1.01-discrimination-based + Wilcoxon 10100%,5,6,4
160,False,False,0.7499928144131625,2400.639,91.7356,6,1.01-discrimination-based + Wilcoxon 10100%,7,6,4
161,False,False,0.6391607995646974,1448.1879999999999,91.7356,6,1.01-discrimination-based + Wilcoxon 10100%,8,6,4
162,False,False,0.39979846485699694,1000.0241,91.7356,6,1.01-discrimination-based + Wilcoxon 10100%,9,6,4
163,False,False,0.26193215749729015,497.99460000000005,91.7356,6,1.01-discrimination-based + Wilcoxon 10100%,10,6,4
164,False,False,0.6777036503900437,1862.2147,91.7356,6,1.01-discrimination-based + Wilcoxon 10100%,11,6,4
165,False,False,0.7499011180529709,2401.854,91.7356,6,1.01-discrimination-based + Wilcoxon 10100%,12,6,4
166,False,False,0.40302695712722575,1005.3,91.7356,6,1.01-discrimination-based + Wilcoxon 10100%,14,6,4
167,False,False,0.7499862528868939,2400.5039999999995,91.7356,6,1.01-discrimination-based + Wilcoxon 10100%,15,6,4
168,False,False,0.7029240492037643,2020.3251,91.7356,6,1.01-discrimination-based + Wilcoxon 10100%,16,6,4
169,False,False,0.31318480091045847,436.8788,91.7356,7,1.01-discrimination-based + Wilcoxon 10100%,18,6,4
170,False,False,0.5635873237587261,1375.4298000000001,91.7356,6,1.01-discrimination-based + Wilcoxon 10100%,19,6,4
171,False,False,0.4817200804956549,1158.2737,91.7356,6,1.01-discrimination-based + Wilcoxon 10100%,20,6,4
172,False,False,0.7216363552196134,2155.8742,91.7356,6,1.01-discrimination-based + Wilcoxon 10100%,22,6,4
173,False,False,0.24460780557824996,696.9425999999999,91.7356,6,1.01-discrimination-based + Wilcoxon 10100%,23,6,4
174,False,False,0.45846495696646794,1108.7168,91.7356,6,1.01-discrimination-based + Wilcoxon 10100%,24,6,4
175,False,False,1.0,154.892,91.7356,100,1.01-discrimination-based + Wilcoxon 10100%,25,6,4
176,False,False,0.6080409427866292,1531.0145000000002,91.7356,6,1.01-discrimination-based + Wilcoxon 10100%,26,6,4
177,False,False,0.48276539553660247,580.2396,91.7356,7,1.01-discrimination-based + Wilcoxon 10100%,27,6,4
178,False,False,0.7752443646255336,1815.4428000000003,91.7356,6,1.01-discrimination-based + Wilcoxon 10100%,29,6,4
179,False,False,1.0,666.8233,91.7356,8,1.01-discrimination-based + Wilcoxon 10100%,30,6,4
180,False,False,0.5832472784518862,700.1346,91.7356,7,1.01-discrimination-based + Wilcoxon 10100%,31,6,4
181,False,False,0.6842914999647831,1901.0733,91.7356,6,1.01-discrimination-based + Wilcoxon 10100%,32,6,4
182,False,False,1.0,170.4793,91.7356,100,1.01-discrimination-based + Wilcoxon 10100%,34,6,4
183,False,True,0.1052548438688026,152.564,91.7356,6,1.01-discrimination-based + Wilcoxon 10100%,35,6,4
184,False,False,0.2876428772772453,636.4378,91.7356,6,1.01-discrimination-based + Wilcoxon 10100%,38,6,4
185,False,False,0.7498780664060142,2400.897,91.7356,6,1.01-discrimination-based + Wilcoxon 10100%,39,6,4
186,False,False,0.646465753243895,1697.5272,91.7356,6,1.01-discrimination-based + Wilcoxon 10100%,40,6,4
187,False,False,0.602570523616841,1287.831,91.7356,6,1.01-discrimination-based + Wilcoxon 10100%,41,6,4
188,False,False,0.7970216729663636,1563.0116999999998,91.7356,6,1.01-discrimination-based + Wilcoxon 10100%,42,6,4
189,False,False,1.0,363.765,91.7356,100,1.01-discrimination-based + Wilcoxon 10100%,44,6,4
