,y_true,y_pred,time,perf_eval,perf_cmp,instances,strategy,a_new,a_old,seed
0,False,False,0.1285787333025461,4765.4047,2928.7491,32,random + Wilcoxon 10100%,0,17,8
1,False,False,0.158123042790526,5635.7662,2928.7491,69,random + Wilcoxon 10100%,2,17,8
2,False,False,0.0516364286613262,6406.4907,2928.7491,50,random + Wilcoxon 10100%,3,17,8
3,False,False,0.0862103955298798,17404.096,2928.7491,54,random + Wilcoxon 10100%,4,17,8
4,False,False,0.0862040277513483,17404.848,2928.7491,46,random + Wilcoxon 10100%,8,17,8
5,False,False,0.0250153661207177,5468.6867,2928.7491,76,random + Wilcoxon 10100%,12,17,8
6,False,False,0.0862061257506577,17402.406,2928.7491,61,random + Wilcoxon 10100%,15,17,8
7,False,False,0.0052986176321104,4147.8177000000005,2928.7491,28,random + Wilcoxon 10100%,18,17,8
8,False,False,0.1034477864063665,17401.455,2928.7491,91,random + Wilcoxon 10100%,19,17,8
9,False,False,0.2482108696758189,3614.6193,2928.7491,317,random + Wilcoxon 10100%,20,17,8
10,False,False,0.120456524977795,5183.2958,2928.7491,45,random + Wilcoxon 10100%,21,17,8
11,False,False,0.0862084560097036,17402.156000000003,2928.7491,35,random + Wilcoxon 10100%,23,17,8
12,False,False,0.0666618205201742,4909.742899999999,2928.7491,38,random + Wilcoxon 10100%,24,17,8
13,False,False,0.1034495916241943,17401.741,2928.7491,104,random + Wilcoxon 10100%,25,17,8
14,False,False,0.1053902428754434,5982.403899999999,2928.7491,100,random + Wilcoxon 10100%,26,17,8
15,False,False,0.0862030033975012,17404.556,2928.7491,71,random + Wilcoxon 10100%,28,17,8
16,False,False,0.156079576528232,4618.055200000001,2928.7491,115,random + Wilcoxon 10100%,29,17,8
17,False,False,0.0862183318923853,17405.208,2928.7491,26,random + Wilcoxon 10100%,30,17,8
18,False,False,0.1393123026717253,3957.555,2928.7491,88,random + Wilcoxon 10100%,33,17,8
19,False,False,0.0871196200228005,3592.5524,2928.7491,64,random + Wilcoxon 10100%,34,17,8
20,False,False,0.0081971516593439,6483.5082,2928.7491,48,random + Wilcoxon 10100%,35,17,8
21,False,False,0.2008564919705101,4393.479600000001,2928.7491,84,random + Wilcoxon 10100%,38,17,8
22,False,False,0.0806418793273704,14035.66,2928.7491,72,random + Wilcoxon 10100%,40,17,8
23,False,False,0.0534118327104586,6278.4702,2928.7491,72,random + Wilcoxon 10100%,42,17,8
24,False,False,0.0627417552987408,3702.3749,2928.7491,27,random + Wilcoxon 10100%,43,17,8
25,False,False,0.1247870866718483,5039.9029,2928.7491,105,random + Wilcoxon 10100%,45,17,8
26,False,False,0.3988983633736174,4655.5097,2928.7491,192,random + Wilcoxon 10100%,47,17,8
27,False,False,0.0862100670634163,17401.737999999998,2928.7491,57,random + Wilcoxon 10100%,48,17,8
28,False,False,0.1139828674644162,6697.105599999999,2928.7491,22,random + Wilcoxon 10100%,49,17,8
29,False,False,0.2862694798552287,4275.8788,2928.7491,43,random + Wilcoxon 10100%,51,17,8
30,False,False,0.1053030296170806,4638.559800000001,2928.7491,60,random + Wilcoxon 10100%,52,17,8
31,False,False,0.0862051739007806,17405.011,2928.7491,21,random + Wilcoxon 10100%,54,17,8
32,False,False,0.0861981160195333,17405.276,2928.7491,71,random + Wilcoxon 10100%,55,17,8
33,False,False,0.0862121105819588,17403.309,2928.7491,46,random + Wilcoxon 10100%,56,17,8
34,False,False,0.068217852447864,4575.6952,2928.7491,47,random + Wilcoxon 10100%,57,17,8
35,False,False,0.1764600875448932,4734.1425,2928.7491,81,random + Wilcoxon 10100%,58,17,8
36,False,False,0.0862036826021144,17402.586,2928.7491,69,random + Wilcoxon 10100%,59,17,8
37,False,False,0.0248762445450867,4141.3124,2928.7491,17,random + Wilcoxon 10100%,62,17,8
38,False,False,0.0524610452205066,5514.4517000000005,2928.7491,73,random + Wilcoxon 10100%,63,17,8
39,False,False,0.0805477181394707,4306.5143,2928.7491,72,random + Wilcoxon 10100%,64,17,8
40,False,False,0.0134034891799257,4025.989,2928.7491,73,random + Wilcoxon 10100%,65,17,8
41,False,False,0.0862090145331566,17404.34,2928.7491,24,random + Wilcoxon 10100%,66,17,8
42,False,False,0.0862101129588102,17405.371,2928.7491,23,random + Wilcoxon 10100%,67,17,8
43,False,False,0.0862255662099163,17403.307,2928.7491,74,random + Wilcoxon 10100%,68,17,8
44,False,False,0.0652747490859905,9903.891,2928.7491,45,random + Wilcoxon 10100%,69,17,8
45,False,False,0.1638654808665732,5850.677,2928.7491,41,random + Wilcoxon 10100%,73,17,8
46,False,False,0.3145677735390498,4768.6738,2928.7491,94,random + Wilcoxon 10100%,75,17,8
47,False,False,0.0862101249666829,17404.718999999997,2928.7491,59,random + Wilcoxon 10100%,76,17,8
48,False,False,0.0881834086357333,6298.3163,2928.7491,40,random + Wilcoxon 10100%,77,17,8
49,False,False,0.0862077189027217,17401.748,2928.7491,41,random + Wilcoxon 10100%,78,17,8
50,False,False,0.0862093587222475,17401.243000000002,2928.7491,75,random + Wilcoxon 10100%,79,17,8
51,False,False,0.2002990179409315,3450.9635000000003,2928.7491,46,random + Wilcoxon 10100%,80,17,8
52,False,False,0.1889539435813718,5339.353499999999,2928.7491,153,random + Wilcoxon 10100%,81,17,8
53,False,False,0.0366638733076486,4728.8348000000005,2928.7491,30,random + Wilcoxon 10100%,82,17,8
54,False,False,0.0571892433622252,4728.9907,2928.7491,70,random + Wilcoxon 10100%,83,17,8
55,False,False,0.0862023228623941,17404.646999999997,2928.7491,59,random + Wilcoxon 10100%,84,17,8
56,False,False,0.1283076245309095,4766.3247,2928.7491,51,random + Wilcoxon 10100%,85,17,8
57,False,False,0.1679099352159555,4681.7855,2928.7491,88,random + Wilcoxon 10100%,88,17,8
58,False,False,0.0792010644895693,3680.9379,2928.7491,48,random + Wilcoxon 10100%,91,17,8
59,False,False,0.1034449177423117,17405.059999999998,2928.7491,43,random + Wilcoxon 10100%,92,17,8
60,False,False,0.0862055084364681,17401.417,2928.7491,31,random + Wilcoxon 10100%,93,17,8
61,False,False,0.0862046756780514,17405.39,2928.7491,38,random + Wilcoxon 10100%,97,17,8
62,False,False,0.2671941477208519,4256.393,2928.7491,44,random + Wilcoxon 10100%,99,17,8
63,False,False,0.0012160352299144,4765.4047,2928.7491,7,1.20-discrimination-based + Wilcoxon 10100%,0,17,8
64,False,False,0.0031048839463922,5635.7662,2928.7491,11,1.20-discrimination-based + Wilcoxon 10100%,2,17,8
65,False,False,0.0016978249886478,6406.4907,2928.7491,8,1.20-discrimination-based + Wilcoxon 10100%,3,17,8
66,False,False,0.103454209859564,17404.096,2928.7491,6,1.20-discrimination-based + Wilcoxon 10100%,4,17,8
67,False,False,0.1034560600586687,17404.848,2928.7491,6,1.20-discrimination-based + Wilcoxon 10100%,8,17,8
68,False,False,0.0019565026462386,5468.6867,2928.7491,8,1.20-discrimination-based + Wilcoxon 10100%,12,17,8
69,False,False,0.1034493736096031,17402.406,2928.7491,6,1.20-discrimination-based + Wilcoxon 10100%,15,17,8
70,False,False,0.0013866327828245,4147.8177000000005,2928.7491,6,1.20-discrimination-based + Wilcoxon 10100%,18,17,8
71,False,False,0.1034513493268235,17401.455,2928.7491,6,1.20-discrimination-based + Wilcoxon 10100%,19,17,8
72,False,False,0.007640472677164,3614.6193,2928.7491,20,1.20-discrimination-based + Wilcoxon 10100%,20,17,8
73,False,False,0.0012916106389297,5183.2958,2928.7491,6,1.20-discrimination-based + Wilcoxon 10100%,21,17,8
74,False,False,0.1034509172311752,17402.156000000003,2928.7491,6,1.20-discrimination-based + Wilcoxon 10100%,23,17,8
75,False,False,0.0010564504304288,4909.742899999999,2928.7491,6,1.20-discrimination-based + Wilcoxon 10100%,24,17,8
76,False,False,0.1034433278831123,17401.741,2928.7491,6,1.20-discrimination-based + Wilcoxon 10100%,25,17,8
77,False,False,0.0016013963884986,5982.403899999999,2928.7491,6,1.20-discrimination-based + Wilcoxon 10100%,26,17,8
78,False,False,0.1034438339018817,17404.556,2928.7491,6,1.20-discrimination-based + Wilcoxon 10100%,28,17,8
79,False,False,0.0011691718193407,4618.055200000001,2928.7491,7,1.20-discrimination-based + Wilcoxon 10100%,29,17,8
80,False,False,0.1034787978402786,17405.208,2928.7491,6,1.20-discrimination-based + Wilcoxon 10100%,30,17,8
81,False,False,0.0014158741950522,3957.555,2928.7491,7,1.20-discrimination-based + Wilcoxon 10100%,33,17,8
82,False,False,0.0014601039639672,3592.5524,2928.7491,6,1.20-discrimination-based + Wilcoxon 10100%,34,17,8
83,False,False,0.002633265737213,6483.5082,2928.7491,7,1.20-discrimination-based + Wilcoxon 10100%,35,17,8
84,False,False,0.0058253144045553,4393.479600000001,2928.7491,18,1.20-discrimination-based + Wilcoxon 10100%,38,17,8
85,False,False,0.0955388631528549,14035.66,2928.7491,6,1.20-discrimination-based + Wilcoxon 10100%,40,17,8
86,False,False,0.001659464753054,6278.4702,2928.7491,8,1.20-discrimination-based + Wilcoxon 10100%,42,17,8
87,False,False,0.0057182755857598,3702.3749,2928.7491,19,1.20-discrimination-based + Wilcoxon 10100%,43,17,8
88,False,False,0.0036836622388101,5039.9029,2928.7491,11,1.20-discrimination-based + Wilcoxon 10100%,45,17,8
89,False,False,0.0017192317309531,4655.5097,2928.7491,8,1.20-discrimination-based + Wilcoxon 10100%,47,17,8
90,False,False,0.1034513908898065,17401.737999999998,2928.7491,6,1.20-discrimination-based + Wilcoxon 10100%,48,17,8
91,False,False,0.0012939171811774,6697.105599999999,2928.7491,6,1.20-discrimination-based + Wilcoxon 10100%,49,17,8
92,False,False,0.0012158670166235,4275.8788,2928.7491,6,1.20-discrimination-based + Wilcoxon 10100%,51,17,8
93,False,False,0.0075114694004807,4638.559800000001,2928.7491,19,1.20-discrimination-based + Wilcoxon 10100%,52,17,8
94,False,False,0.1034496904368517,17405.011,2928.7491,6,1.20-discrimination-based + Wilcoxon 10100%,54,17,8
95,False,False,0.1034446107030994,17405.276,2928.7491,6,1.20-discrimination-based + Wilcoxon 10100%,55,17,8
96,False,False,0.1034419948528179,17403.309,2928.7491,6,1.20-discrimination-based + Wilcoxon 10100%,56,17,8
97,False,False,0.0011610257606319,4575.6952,2928.7491,7,1.20-discrimination-based + Wilcoxon 10100%,57,17,8
98,False,False,0.0008374695100538,4734.1425,2928.7491,6,1.20-discrimination-based + Wilcoxon 10100%,58,17,8
99,False,False,0.103452153605217,17402.586,2928.7491,6,1.20-discrimination-based + Wilcoxon 10100%,59,17,8
100,False,False,0.000876485434907,4141.3124,2928.7491,6,1.20-discrimination-based + Wilcoxon 10100%,62,17,8
101,False,False,0.0013326619580329,5514.4517000000005,2928.7491,8,1.20-discrimination-based + Wilcoxon 10100%,63,17,8
102,False,False,0.0010516858146738,4306.5143,2928.7491,6,1.20-discrimination-based + Wilcoxon 10100%,64,17,8
103,False,False,0.0014907889713558,4025.989,2928.7491,6,1.20-discrimination-based + Wilcoxon 10100%,65,17,8
