,y_true,y_pred,time,perf_eval,perf_cmp,instances,strategy,a_new,a_old,seed
0,False,False,1.9095841225021353e-05,3241.5434999999998,1912.152,9,1.34-discrimination-based + Wilcoxon 10100%,0,14,0
1,False,False,0.5609353926839188,3417.1873,1912.152,186,1.34-discrimination-based + Wilcoxon 10100%,1,14,0
2,False,True,7.485473774007464e-05,2416.6807,1912.152,17,1.34-discrimination-based + Wilcoxon 10100%,3,14,0
3,False,False,2.799283619122652e-05,2375.6077999999998,1912.152,9,1.34-discrimination-based + Wilcoxon 10100%,5,14,0
4,False,True,0.00035098410573818995,2536.5821,1912.152,41,1.34-discrimination-based + Wilcoxon 10100%,6,14,0
5,False,True,1.621729660439244e-05,3533.2646,1912.152,9,1.34-discrimination-based + Wilcoxon 10100%,7,14,0
6,False,False,0.0314160128486483,57316.535,1912.152,6,1.34-discrimination-based + Wilcoxon 10100%,8,14,0
7,False,False,1.1078599184558022e-05,3854.2778999999996,1912.152,7,1.34-discrimination-based + Wilcoxon 10100%,9,14,0
8,False,True,0.00015477800779124535,2525.5526,1912.152,24,1.34-discrimination-based + Wilcoxon 10100%,10,14,0
9,False,False,0.02579340237106992,16746.9376,1912.152,6,1.34-discrimination-based + Wilcoxon 10100%,11,14,0
10,False,True,5.841097318763167e-05,2367.7057999999997,1912.152,15,1.34-discrimination-based + Wilcoxon 10100%,12,14,0
11,False,False,0.03141235444500929,57307.293000000005,1912.152,6,1.34-discrimination-based + Wilcoxon 10100%,15,14,0
12,False,False,1.472098129160712e-05,2887.0358,1912.152,7,1.34-discrimination-based + Wilcoxon 10100%,16,14,0
13,False,False,3.141694987551859e-05,2575.0431,1912.152,9,1.34-discrimination-based + Wilcoxon 10100%,17,14,0
14,False,False,0.03141560493173729,57315.623999999996,1912.152,6,1.34-discrimination-based + Wilcoxon 10100%,19,14,0
15,True,False,1.853861943707079e-05,1860.98,1912.152,6,1.34-discrimination-based + Wilcoxon 10100%,20,14,0
16,False,False,0.006072327043367862,3348.9797,1912.152,116,1.34-discrimination-based + Wilcoxon 10100%,21,14,0
17,False,True,0.010061830895824355,2817.0221,1912.152,161,1.34-discrimination-based + Wilcoxon 10100%,24,14,0
18,False,False,0.03141113119656992,57315.096000000005,1912.152,6,1.34-discrimination-based + Wilcoxon 10100%,25,14,0
19,False,False,0.002916123278446187,4177.8755,1912.152,81,1.34-discrimination-based + Wilcoxon 10100%,27,14,0
20,False,False,0.031413254982545796,57307.401,1912.152,6,1.34-discrimination-based + Wilcoxon 10100%,28,14,0
21,True,True,0.0007473441796446492,1820.9815999999996,1912.152,49,1.34-discrimination-based + Wilcoxon 10100%,29,14,0
22,False,False,0.030929387598416475,57059.551999999996,1912.152,6,1.34-discrimination-based + Wilcoxon 10100%,30,14,0
23,False,True,1.670911943358313e-05,2872.6827999999996,1912.152,8,1.34-discrimination-based + Wilcoxon 10100%,31,14,0
24,False,True,0.0008328232670615213,2622.0449000000003,1912.152,57,1.34-discrimination-based + Wilcoxon 10100%,33,14,0
25,False,False,3.167183552184119e-05,2295.4148000000005,1912.152,10,1.34-discrimination-based + Wilcoxon 10100%,34,14,0
