,seed,incumbent,challenger,selected_instances,additional_time,selection
0,5,95,89,10,29959.0157,random
1,5,95,89,10,13063.3325,variance
2,5,95,89,10,13063.3325,discrimination-1.12
3,6,15,89,1,1205.801,discrimination-1.12
4,6,15,95,10,78891.13350000001,discrimination-1.12
5,5,95,89,10,11655.0194,uncertainty
6,6,15,89,1,1205.801,variance
7,6,15,95,10,78891.13350000001,variance
8,5,95,89,10,22323.872699999996,udd-1.4-0.2
9,6,15,89,1,862.456,uncertainty
10,6,15,95,10,65401.07119999999,uncertainty
11,6,15,89,7,4731.557000000001,udd-1.4-0.2
12,6,15,95,10,37691.821599999996,udd-1.4-0.2
13,6,15,89,10,35110.149000000005,random
14,6,15,95,10,0.0,random
15,4,15,0,10,48529.479799999994,uncertainty
16,4,15,21,1,9583.828,uncertainty
17,4,15,48,10,52444.4258,uncertainty
18,4,15,72,1,2485.558,uncertainty
19,4,15,89,10,26853.293999999998,uncertainty
20,4,15,0,10,37189.458,udd-1.4-0.2
21,4,15,21,1,10462.900000000001,udd-1.4-0.2
22,4,15,48,10,31811.486999999994,udd-1.4-0.2
23,4,15,72,3,13987.503,udd-1.4-0.2
24,4,15,89,10,18804.827,udd-1.4-0.2
25,4,15,0,10,63921.916,variance
26,4,15,21,2,355.264,variance
27,4,15,48,10,62735.48099999999,variance
28,4,15,72,5,24413.559999999998,variance
29,4,15,89,10,43135.03,variance
30,4,15,0,10,63921.916,discrimination-1.12
31,4,15,21,2,355.264,discrimination-1.12
32,4,15,48,10,62735.48099999999,discrimination-1.12
33,4,15,72,5,24413.559999999998,discrimination-1.12
34,4,15,89,10,43135.03,discrimination-1.12
35,4,15,0,9,57819.076199999996,random
36,4,15,21,10,12325.729899999998,random
37,4,15,48,10,28694.171000000002,random
38,4,15,72,3,949.5129999999999,random
39,4,15,89,10,34575.9638,random
40,3,21,0,1,3684.528,uncertainty
41,3,21,9,10,56537.531,uncertainty
42,3,21,34,10,26721.4225,uncertainty
43,3,21,48,10,90504.66600000001,uncertainty
44,3,21,50,10,26072.431000000004,uncertainty
45,3,21,66,4,29536.506,uncertainty
46,3,21,72,10,42738.891,uncertainty
47,3,21,95,10,22137.7927,uncertainty
48,3,21,0,10,39462.91419999999,variance
49,3,21,9,10,19406.254,variance
50,3,21,34,10,71563.235,variance
51,3,21,48,10,51087.299,variance
52,3,21,50,10,41905.6,variance
53,3,21,66,2,10841.836,variance
54,3,21,72,10,36955.671,variance
55,3,21,95,10,16176.661600000001,variance
56,3,21,0,10,53809.3312,discrimination-1.12
57,3,21,9,10,11747.91,discrimination-1.12
58,3,21,34,10,47467.546,discrimination-1.12
59,3,21,48,10,47776.114,discrimination-1.12
60,3,21,50,10,43743.689,discrimination-1.12
61,3,21,66,1,9978.116,discrimination-1.12
62,3,21,72,10,25481.643000000004,discrimination-1.12
63,3,21,95,10,22399.4113,discrimination-1.12
64,3,21,0,5,27266.218999999997,random
65,3,21,9,10,42068.92999999999,random
66,3,21,34,10,28169.2635,random
67,3,21,48,10,45034.78200000001,random
68,3,21,50,10,81889.898,random
69,3,21,66,10,20347.214,random
70,3,21,72,10,6801.228999999999,random
71,3,21,95,10,38212.2959,random
72,3,21,0,6,11223.060000000001,udd-1.4-0.2
73,3,21,9,10,52710.937,udd-1.4-0.2
74,3,21,34,10,41179.156,udd-1.4-0.2
75,3,21,48,10,58720.322,udd-1.4-0.2
76,3,21,50,10,10166.306,udd-1.4-0.2
77,3,21,66,10,8780.114,udd-1.4-0.2
78,3,21,72,10,46010.888,udd-1.4-0.2
79,3,21,95,10,28694.665699999998,udd-1.4-0.2
80,8,9,0,10,30006.686,uncertainty
81,8,9,3,2,35925.0,uncertainty
82,8,9,14,10,20840.66,uncertainty
83,8,9,21,10,16661.886,uncertainty
84,8,9,34,10,1115.766,uncertainty
85,8,9,49,10,28787.454,uncertainty
86,8,9,66,10,20491.008,uncertainty
87,8,9,95,10,13036.1837,uncertainty
88,8,9,0,10,27312.715,udd-1.4-0.2
89,8,9,3,3,9878.280999999999,udd-1.4-0.2
90,8,9,14,10,24583.747,udd-1.4-0.2
91,8,9,21,10,10948.225,udd-1.4-0.2
92,8,9,34,10,10994.037,udd-1.4-0.2
93,8,9,49,10,43866.827000000005,udd-1.4-0.2
94,8,9,66,10,28900.132999999998,udd-1.4-0.2
95,8,9,95,10,23791.774,udd-1.4-0.2
96,8,9,0,10,70631.94600000001,discrimination-1.12
97,8,9,3,6,25715.462,discrimination-1.12
98,8,9,14,10,72056.028,discrimination-1.12
99,8,9,21,10,76353.41399999999,discrimination-1.12
100,8,9,34,10,39454.552,discrimination-1.12
101,8,9,49,10,34201.129199999996,discrimination-1.12
102,8,9,66,10,62556.25899999999,discrimination-1.12
103,8,9,95,10,51239.3406,discrimination-1.12
104,8,9,0,10,70631.94600000001,variance
105,8,9,3,6,25715.462,variance
