,seed,incumbent,challenger,selected_instances,additional_time,selection
0,0,72,6,10,43.9935,discrimination-1.23
1,0,72,34,10,36.523300000000006,discrimination-1.23
2,0,72,35,4,15.4861,discrimination-1.23
3,0,72,48,10,37.232600000000005,discrimination-1.23
4,0,72,52,10,39.8094,discrimination-1.23
5,0,72,83,10,47.665499999999994,discrimination-1.23
6,0,72,6,10,43.9935,discrimination-1.12
7,0,72,34,10,43.97970000000001,discrimination-1.12
8,0,72,35,4,15.4861,discrimination-1.12
9,0,72,48,10,37.2326,discrimination-1.12
10,0,72,52,10,52.0667,discrimination-1.12
11,0,72,83,10,35.5591,discrimination-1.12
12,0,72,6,10,52.53659999999999,discrimination-1.34
13,0,72,34,10,36.669200000000004,discrimination-1.34
14,0,72,35,4,15.4861,discrimination-1.34
15,0,72,48,10,37.232600000000005,discrimination-1.34
16,0,72,52,10,52.0667,discrimination-1.34
17,0,72,83,10,47.665499999999994,discrimination-1.34
18,0,72,6,10,43.9935,discrimination-1.01
19,0,72,34,10,43.97970000000001,discrimination-1.01
20,0,72,35,4,15.4861,discrimination-1.01
21,0,72,48,10,37.232600000000005,discrimination-1.01
22,0,72,52,10,52.0667,discrimination-1.01
23,0,72,83,10,47.665499999999994,discrimination-1.01
24,9,72,17,10,96.13080000000002,discrimination-1.12
25,9,72,25,9,76.33370000000001,discrimination-1.12
26,9,72,35,10,87.591,discrimination-1.12
27,9,72,44,6,54.5705,discrimination-1.12
28,9,72,49,2,14.602,discrimination-1.12
29,9,72,52,10,82.22449999999999,discrimination-1.12
30,9,72,89,10,100.9687,discrimination-1.12
31,9,72,17,10,88.7411,discrimination-1.23
32,9,72,25,9,84.8955,discrimination-1.23
33,9,72,35,10,70.8426,discrimination-1.23
34,9,72,44,6,54.5705,discrimination-1.23
35,9,72,49,6,80.2358,discrimination-1.23
36,9,72,52,10,82.22449999999999,discrimination-1.23
37,9,72,89,10,100.9687,discrimination-1.23
38,9,72,17,10,128.2201,discrimination-1.01
39,9,72,25,9,76.33370000000001,discrimination-1.01
40,9,72,35,10,86.2447,discrimination-1.01
41,9,72,44,6,54.5705,discrimination-1.01
42,9,72,49,10,120.9127,discrimination-1.01
43,9,72,52,10,82.22449999999999,discrimination-1.01
44,9,72,89,10,100.9687,discrimination-1.01
45,5,89,6,10,75.4671,discrimination-1.01
46,5,89,25,5,39.6768,discrimination-1.01
47,5,89,34,10,73.1804,discrimination-1.01
48,5,89,35,5,21.1432,discrimination-1.01
49,5,89,48,10,51.6034,discrimination-1.01
50,5,89,50,4,16.224,discrimination-1.01
51,5,89,52,10,57.597300000000004,discrimination-1.01
52,5,89,58,10,58.421499999999995,discrimination-1.01
53,5,89,72,10,65.25290000000001,discrimination-1.01
54,5,89,83,10,55.689499999999995,discrimination-1.01
55,5,89,6,10,55.27420000000001,discrimination-1.23
56,5,89,25,5,39.6768,discrimination-1.23
57,5,89,34,10,51.3048,discrimination-1.23
58,5,89,35,5,31.285800000000002,discrimination-1.23
59,5,89,48,10,44.4874,discrimination-1.23
60,5,89,50,4,16.224,discrimination-1.23
61,5,89,52,10,57.597300000000004,discrimination-1.23
62,5,89,58,10,63.0437,discrimination-1.23
63,5,89,72,10,45.168,discrimination-1.23
64,5,89,83,10,55.79549999999999,discrimination-1.23
65,3,58,6,10,116.6992,discrimination-1.01
66,3,58,25,10,99.97560000000001,discrimination-1.01
67,3,58,27,1,93.01790000000001,discrimination-1.01
68,3,58,34,10,110.149,discrimination-1.01
69,3,58,44,8,163.53570000000002,discrimination-1.01
70,3,58,49,10,136.1684,discrimination-1.01
71,3,58,50,10,393.03020000000004,discrimination-1.01
72,3,58,74,10,175.4608,discrimination-1.01
73,3,58,83,10,129.31220000000002,discrimination-1.01
74,3,58,89,4,71.0331,discrimination-1.01
75,3,58,6,10,90.0186,discrimination-1.23
76,3,58,25,10,114.7882,discrimination-1.23
77,3,58,27,1,93.01790000000001,discrimination-1.23
78,3,58,34,8,71.3811,discrimination-1.23
79,3,58,44,8,182.82610000000003,discrimination-1.23
80,3,58,49,10,149.06669999999997,discrimination-1.23
81,3,58,50,10,387.73910000000006,discrimination-1.23
82,3,58,74,10,207.74290000000002,discrimination-1.23
83,3,58,83,10,198.26020000000003,discrimination-1.23
84,3,58,89,4,71.0331,discrimination-1.23
85,5,89,6,10,46.23810000000001,discrimination-1.12
86,5,89,25,5,39.6768,discrimination-1.12
87,5,89,34,10,48.92340000000001,discrimination-1.12
88,5,89,35,5,21.1432,discrimination-1.12
89,5,89,48,10,51.6034,discrimination-1.12
90,5,89,50,4,16.224,discrimination-1.12
91,5,89,52,10,57.597300000000004,discrimination-1.12
92,5,89,58,10,58.421499999999995,discrimination-1.12
93,5,89,72,10,65.25290000000001,discrimination-1.12
94,5,89,83,10,55.689499999999995,discrimination-1.12
95,3,58,6,10,90.0186,discrimination-1.12
96,3,58,25,10,97.76950000000002,discrimination-1.12
97,3,58,27,1,93.01790000000001,discrimination-1.12
98,3,58,34,10,133.5471,discrimination-1.12
99,3,58,44,8,163.53570000000002,discrimination-1.12
100,3,58,49,10,152.31019999999998,discrimination-1.12
101,3,58,50,10,393.03020000000004,discrimination-1.12
102,3,58,74,10,179.6485,discrimination-1.12
103,3,58,83,10,143.2437,discrimination-1.12
104,3,58,89,4,71.0331,discrimination-1.12
105,4,6,25,10,133.1873,discrimination-1.01
106,4,6,34,10,85.27139999999999,discrimination-1.01
107,4,6,35,7,69.3951,discrimination-1.01
108,4,6,44,10,310.63199999999995,discrimination-1.01
109,4,6,48,10,152.614,discrimination-1.01
110,4,6,49,10,118.7007,discrimination-1.01
111,4,6,52,8,91.62299999999999,discrimination-1.01
112,4,6,72,10,113.9451,discrimination-1.01
113,4,6,74,10,107.38459999999999,discrimination-1.01
114,4,6,83,10,117.17269999999999,discrimination-1.01
115,4,6,25,10,133.1873,discrimination-1.12
116,4,6,34,10,85.77509999999998,discrimination-1.12
117,4,6,35,7,69.3951,discrimination-1.12
118,4,6,44,10,322.3528,discrimination-1.12
119,4,6,48,10,152.614,discrimination-1.12
120,4,6,49,10,139.4102,discrimination-1.12
121,4,6,52,8,36.639799999999994,discrimination-1.12
122,4,6,72,10,106.4761,discrimination-1.12
123,4,6,74,10,107.38459999999999,discrimination-1.12
124,4,6,83,10,117.17269999999999,discrimination-1.12
125,4,6,25,10,154.81570000000002,discrimination-1.23
126,4,6,34,10,89.1862,discrimination-1.23
127,4,6,35,7,69.3951,discrimination-1.23
128,4,6,44,10,322.3528,discrimination-1.23
129,4,6,48,10,152.614,discrimination-1.23
130,4,6,49,10,126.95779999999999,discrimination-1.23
131,4,6,52,8,91.62299999999999,discrimination-1.23
132,4,6,72,10,106.4761,discrimination-1.23
133,4,6,74,10,110.96979999999999,discrimination-1.23
134,4,6,83,10,114.1453,discrimination-1.23
135,7,49,6,10,64.6396,discrimination-1.01
136,7,49,17,10,51.0583,discrimination-1.01
137,7,49,48,10,41.8793,discrimination-1.01
138,7,49,52,10,59.986000000000004,discrimination-1.01
139,7,49,72,10,52.1204,discrimination-1.01
140,7,49,74,10,57.1222,discrimination-1.01
141,7,49,83,10,70.4,discrimination-1.01
142,7,49,89,10,66.31230000000001,discrimination-1.01
143,7,49,93,6,50.3056,discrimination-1.01
144,7,49,6,10,64.6396,discrimination-1.12
145,7,49,17,10,55.6243,discrimination-1.12
146,7,49,48,10,41.8793,discrimination-1.12
147,7,49,52,10,45.7223,discrimination-1.12
148,7,49,72,10,52.1204,discrimination-1.12
149,7,49,74,10,57.1222,discrimination-1.12
150,7,49,83,10,67.3047,discrimination-1.12
151,7,49,89,10,66.31230000000001,discrimination-1.12
152,7,49,93,6,50.3056,discrimination-1.12
153,7,49,6,10,64.6396,discrimination-1.23
154,7,49,17,10,51.0583,discrimination-1.23
155,7,49,48,10,41.8793,discrimination-1.23
156,7,49,52,10,59.986000000000004,discrimination-1.23
157,7,49,72,10,58.856100000000005,discrimination-1.23
158,7,49,74,10,57.1222,discrimination-1.23
159,7,49,83,10,70.4,discrimination-1.23
160,7,49,89,10,66.31230000000001,discrimination-1.23
161,7,49,93,6,50.3056,discrimination-1.23
162,2,72,6,10,46.57790000000001,discrimination-1.12
163,2,72,17,10,58.239000000000004,discrimination-1.12
164,2,72,34,10,108.65429999999999,discrimination-1.12
165,2,72,35,10,119.96090000000001,discrimination-1.12
166,2,72,44,10,178.37320000000003,discrimination-1.12
167,2,72,48,10,161.11720000000003,discrimination-1.12
168,2,72,49,7,108.0961,discrimination-1.12
169,2,72,50,3,117.79679999999999,discrimination-1.12
170,2,72,52,7,358.7378,discrimination-1.12
171,2,72,77,1,51.396,discrimination-1.12
172,2,72,89,10,184.6954,discrimination-1.12
173,2,72,6,10,46.5779,discrimination-1.01
174,2,72,17,10,55.286300000000004,discrimination-1.01
175,2,72,34,10,105.1909,discrimination-1.01
176,2,72,35,10,182.47449999999998,discrimination-1.01
177,2,72,44,10,190.0379,discrimination-1.01
178,2,72,48,10,205.9774,discrimination-1.01
179,2,72,49,7,108.0961,discrimination-1.01
180,2,72,50,3,117.79679999999999,discrimination-1.01
181,2,72,52,10,426.80929999999995,discrimination-1.01
182,2,72,77,1,51.396,discrimination-1.01
183,2,72,89,10,184.6954,discrimination-1.01
184,6,58,25,8,49.3809,discrimination-1.23
185,6,58,27,3,9.200800000000001,discrimination-1.23
186,6,58,28,1,2.3036,discrimination-1.23
187,6,58,44,10,72.0366,discrimination-1.23
188,6,58,48,10,44.8915,discrimination-1.23
189,6,58,49,10,55.06979999999999,discrimination-1.23
190,6,58,50,8,31.9467,discrimination-1.23
191,6,58,72,10,56.633599999999994,discrimination-1.23
192,6,58,74,10,77.49459999999999,discrimination-1.23
193,6,58,77,7,70.0539,discrimination-1.23
194,6,58,83,10,163.8977,discrimination-1.23
195,6,58,89,3,35.5801,discrimination-1.23
196,6,58,93,7,101.26939999999999,discrimination-1.23
197,6,58,96,10,151.9276,discrimination-1.23
198,2,72,6,10,46.57790000000001,discrimination-1.23
199,2,72,17,10,54.4543,discrimination-1.23
200,2,72,34,10,129.84019999999998,discrimination-1.23
201,2,72,35,10,179.0955,discrimination-1.23
202,2,72,44,10,178.37320000000003,discrimination-1.23
203,2,72,48,10,161.11720000000003,discrimination-1.23
204,2,72,49,8,135.2493,discrimination-1.23
205,2,72,50,3,117.79679999999999,discrimination-1.23
206,2,72,52,10,426.80929999999995,discrimination-1.23
207,2,72,77,1,51.396,discrimination-1.23
208,2,72,89,10,305.9692,discrimination-1.23
209,6,58,25,8,49.3809,discrimination-1.12
210,6,58,27,3,9.200800000000001,discrimination-1.12
211,6,58,28,1,2.3036,discrimination-1.12
212,6,58,44,10,72.0366,discrimination-1.12
213,6,58,48,10,44.8915,discrimination-1.12
214,6,58,49,10,242.6614,discrimination-1.12
215,6,58,50,8,31.9467,discrimination-1.12
216,6,58,72,10,51.74399999999999,discrimination-1.12
217,6,58,74,10,39.732600000000005,discrimination-1.12
218,6,58,77,10,82.07069999999999,discrimination-1.12
219,6,58,83,10,55.99329999999999,discrimination-1.12
