,seed,incumbent,challenger,selected_instances,additional_time,selection
0,0,72,6,9,245.39599999999996,udd-0.2-0.6000000000000001
1,0,72,34,10,286.3628,udd-0.2-0.6000000000000001
2,0,72,35,10,273.9977,udd-0.2-0.6000000000000001
3,0,72,48,10,297.2378,udd-0.2-0.6000000000000001
4,0,72,52,3,77.42999999999999,udd-0.2-0.6000000000000001
5,0,72,83,2,27.884,udd-0.2-0.6000000000000001
6,0,72,6,10,223.41379999999998,udd-0.2-0.2
7,0,72,34,10,286.881,udd-0.2-0.2
8,0,72,35,10,275.241,udd-0.2-0.2
9,0,72,48,10,282.53450000000004,udd-0.2-0.2
10,0,72,52,3,73.3475,udd-0.2-0.2
11,0,72,83,2,27.884,udd-0.2-0.2
12,0,72,6,8,280.502,udd-0.2-0.8
13,0,72,34,10,286.3628,udd-0.2-0.8
14,0,72,35,10,273.9977,udd-0.2-0.8
15,0,72,48,10,206.41620000000003,udd-0.2-0.8
16,0,72,52,3,77.42999999999999,udd-0.2-0.8
17,0,72,83,2,27.884,udd-0.2-0.8
18,0,72,6,8,229.53159999999997,udd-0.2-0.4
19,0,72,34,10,286.1121,udd-0.2-0.4
20,0,72,35,10,273.9977,udd-0.2-0.4
21,0,72,48,10,282.31690000000003,udd-0.2-0.4
22,0,72,52,3,77.42999999999999,udd-0.2-0.4
23,0,72,83,2,27.884,udd-0.2-0.4
24,9,72,17,10,181.8132,udd-0.2-0.2
25,9,72,25,2,10.2896,udd-0.2-0.2
26,9,72,35,10,189.02909999999997,udd-0.2-0.2
27,9,72,44,2,13.4251,udd-0.2-0.2
28,9,72,49,6,102.60300000000001,udd-0.2-0.2
29,9,72,52,7,160.2695,udd-0.2-0.2
30,9,72,89,10,133.54909999999998,udd-0.2-0.2
31,9,72,17,10,181.8132,udd-0.2-0.6000000000000001
32,9,72,25,2,10.2896,udd-0.2-0.6000000000000001
33,9,72,35,10,175.4842,udd-0.2-0.6000000000000001
34,9,72,44,2,13.4251,udd-0.2-0.6000000000000001
35,9,72,49,6,75.7661,udd-0.2-0.6000000000000001
36,9,72,52,7,160.2695,udd-0.2-0.6000000000000001
37,9,72,89,10,119.8201,udd-0.2-0.6000000000000001
