,seed,incumbent,challenger,selected_instances,additional_time,selection
0,2,6,87,10,197.57449999999997,variance
1,2,6,87,10,195.2648,discrimination-1.12
2,2,6,87,10,4093.4431,random
3,1,87,6,10,207.2013,variance
4,1,87,6,10,156.2841,discrimination-1.12
5,1,87,6,10,3516.683,random
6,2,6,87,10,5506.236000000001,uncertainty
7,1,87,6,10,5998.296,uncertainty
8,0,50,87,10,3713.457,random
9,0,50,87,10,636.7534000000002,discrimination-1.12
10,0,50,87,10,578.0473000000001,variance
11,0,50,87,10,5340.670999999999,uncertainty
12,2,6,87,10,366.1615,udd-1.4-0.2
13,1,87,6,10,301.6815000000001,udd-1.4-0.2
14,0,50,87,10,645.1398999999999,udd-1.4-0.2
15,6,50,48,10,561.5209,discrimination-1.12
16,6,50,87,10,623.6256000000001,discrimination-1.12
17,6,50,48,10,600.6983,variance
18,6,50,87,10,623.5231,variance
19,8,72,17,8,64.6423,discrimination-1.12
20,8,72,88,10,90.8974,discrimination-1.12
21,6,50,48,10,4505.7452,random
22,6,50,87,10,2743.8044000000004,random
23,8,72,17,8,67.1791,variance
24,8,72,88,10,95.96139999999998,variance
25,9,50,17,10,810.8517999999999,discrimination-1.12
26,9,50,72,10,549.7449,discrimination-1.12
27,9,50,17,10,732.7920999999999,variance
28,9,50,72,10,487.02930000000003,variance
29,9,50,17,10,4175.6827,random
30,9,50,72,10,3096.5851,random
31,8,72,17,10,4990.1591,random
32,8,72,88,10,4112.4225,random
33,6,50,48,10,6002.3949999999995,uncertainty
34,6,50,87,10,5898.937,uncertainty
35,9,50,17,10,5801.103000000001,uncertainty
36,9,50,72,10,6001.546,uncertainty
37,8,72,17,10,6001.294999999999,uncertainty
38,8,72,88,10,6001.286999999999,uncertainty
39,6,50,48,10,4405.117,udd-1.4-0.2
40,6,50,87,10,2731.5532,udd-1.4-0.2
41,8,72,17,8,47.5505,udd-1.4-0.2
42,8,72,88,10,1899.7500999999997,udd-1.4-0.2
43,9,50,17,10,4570.285199999999,udd-1.4-0.2
44,9,50,72,10,3766.9528,udd-1.4-0.2
45,4,81,36,10,5490.0779999999995,random
46,4,81,77,10,4583.1873,random
47,4,81,82,10,4576.845399999999,random
48,4,81,36,10,359.2,discrimination-1.12
49,4,81,77,10,463.1874000000001,discrimination-1.12
50,4,81,82,10,320.9117,discrimination-1.12
51,4,81,36,10,414.9342,variance
52,4,81,77,10,473.66830000000004,variance
53,4,81,82,10,368.8641,variance
54,4,81,36,10,6003.111999999999,uncertainty
55,4,81,77,10,6002.602999999999,uncertainty
56,4,81,82,10,6003.63,uncertainty
57,4,81,36,10,849.2386000000001,udd-1.4-0.2
58,4,81,77,10,1237.7017,udd-1.4-0.2
59,4,81,82,10,363.2978,udd-1.4-0.2
