,seed,incumbent,challenger,selected_instances,additional_time,selection
0,2,35,22,10,121.83990000000001,variance
1,9,22,35,10,826.6571,random
2,9,22,35,10,119.37180000000001,discrimination-1.12
3,2,35,22,10,114.1075,discrimination-1.12
4,2,35,22,10,508.9064999999999,random
5,9,22,35,10,135.43959999999998,variance
6,9,22,35,10,130.4352,uncertainty
7,2,35,22,10,903.4422,udd-1.4-0.2
8,2,35,22,10,114.48490000000001,uncertainty
9,9,22,35,10,552.9452000000001,udd-1.4-0.2
10,4,35,22,10,102.99839999999999,discrimination-1.12
11,4,35,50,10,258.1639,discrimination-1.12
12,3,35,22,10,130.1047,discrimination-1.12
13,3,35,50,10,236.88109999999998,discrimination-1.12
14,4,35,22,10,505.318,random
15,4,35,50,10,886.7607,random
16,5,83,1,10,1024.4391999999998,random
17,5,83,23,10,1701.9946999999997,random
18,4,35,22,10,113.27660000000002,variance
19,4,35,50,10,263.92719999999997,variance
20,5,83,1,10,438.4926,variance
21,5,83,23,10,564.3442000000001,variance
22,3,35,22,10,839.4039,random
23,3,35,50,10,572.3774999999999,random
24,3,35,22,10,124.06309999999999,variance
25,3,35,50,10,269.1393,variance
26,5,83,1,10,314.80060000000003,discrimination-1.12
27,5,83,23,10,450.7557,discrimination-1.12
28,4,35,22,10,108.0397,uncertainty
29,4,35,50,10,391.9473,uncertainty
30,3,35,22,10,198.81920000000002,uncertainty
31,3,35,50,10,306.0884,uncertainty
32,4,35,22,10,435.9319,udd-1.4-0.2
33,4,35,50,10,683.3056,udd-1.4-0.2
34,3,35,22,10,224.0317,udd-1.4-0.2
35,3,35,50,10,373.8546,udd-1.4-0.2
36,5,83,1,10,432.18109999999996,uncertainty
37,5,83,23,10,688.4538,uncertainty
38,5,83,1,10,1364.2993000000001,udd-1.4-0.2
39,5,83,23,10,1405.6093,udd-1.4-0.2
