,seed,incumbent,challenger,selected_instances,additional_time,selection
0,9,98,17,10,1238.0632,random
1,8,20,80,10,36.673199999999994,discrimination-1.12
2,0,98,17,10,17.62,discrimination-1.12
3,8,20,80,10,1620.0031999999997,random
4,0,98,17,10,764.413,random
5,0,98,17,10,617.56,variance
6,8,20,80,10,36.673199999999994,variance
7,9,98,17,10,45.1661,discrimination-1.12
8,9,98,17,10,78.71860000000001,variance
9,7,80,20,10,42.693,variance
10,7,80,20,10,1325.2749,random
11,0,98,17,10,68.20769999999999,uncertainty
12,7,80,20,10,42.693,discrimination-1.12
13,3,80,20,10,50.030699999999996,random
14,3,80,20,10,360.9233,discrimination-1.12
15,3,80,20,10,424.57620000000003,variance
16,8,20,80,10,664.2081,uncertainty
17,0,98,17,10,40.4106,udd-1.4-0.2
18,9,98,17,10,201.9629,uncertainty
19,7,80,20,10,656.595,uncertainty
20,9,98,17,10,58.24,udd-1.4-0.2
21,8,20,80,10,215.76899999999998,udd-1.4-0.2
22,3,80,20,10,132.3958,uncertainty
23,7,80,20,10,55.18789999999999,udd-1.4-0.2
24,3,80,20,10,179.5743,udd-1.4-0.2
25,4,14,41,10,680.9042999999999,random
26,4,14,46,10,303.21410000000003,random
27,4,14,41,10,115.3577,variance
28,4,14,46,10,107.84699999999998,variance
29,4,14,41,10,92.0624,discrimination-1.12
30,4,14,46,10,218.97420000000002,discrimination-1.12
31,4,14,41,10,267.7952,uncertainty
32,4,14,46,10,956.6612,uncertainty
33,4,14,41,10,1580.5909000000001,udd-1.4-0.2
34,4,14,46,10,221.65210000000002,udd-1.4-0.2
