,seed,incumbent,challenger,selected_instances,additional_time,selection
0,4,26,35,7,9941.033399999998,random
1,4,26,35,10,37.419900000000005,discrimination-1.12
2,4,26,35,10,44.70590000000001,variance
3,2,45,62,10,21143.7499,random
4,2,45,62,10,13.5704,variance
5,2,45,62,10,13.5704,discrimination-1.12
6,4,26,35,10,4295.0401,uncertainty
7,8,45,58,2,1702.6804,random
8,8,45,62,10,24997.449,random
9,2,45,62,10,18.299,uncertainty
10,8,45,58,6,1582.3899999999999,uncertainty
11,8,45,62,10,8158.365699999999,uncertainty
12,4,26,35,8,10610.998500000002,udd-1.4-0.2
13,8,45,58,10,40.7745,variance
14,8,45,62,10,49.5328,variance
15,8,45,58,10,48.732,discrimination-1.12
16,8,45,62,10,43.6596,discrimination-1.12
17,6,45,35,10,15807.5556,random
18,6,45,62,10,21685.658,random
19,6,45,35,10,10016.8432,variance
20,6,45,62,10,8427.317500000003,variance
21,2,45,62,10,17489.02,udd-1.4-0.2
22,6,45,35,10,10016.551099999999,discrimination-1.12
23,6,45,62,10,8226.470800000001,discrimination-1.12
24,6,45,35,10,5934.09,uncertainty
25,6,45,62,10,8417.772099999998,uncertainty
26,8,45,58,10,12096.586599999999,udd-1.4-0.2
27,8,45,62,10,16082.743500000002,udd-1.4-0.2
28,6,45,35,10,13118.4177,udd-1.4-0.2
29,6,45,62,10,14834.509400000003,udd-1.4-0.2
30,3,58,1,10,2507.8863,discrimination-1.12
31,3,58,16,10,90.13139999999999,discrimination-1.12
32,3,58,22,10,1288.5621,discrimination-1.12
33,3,58,61,7,75.18620000000001,discrimination-1.12
34,3,58,62,10,27.3809,discrimination-1.12
35,3,58,86,10,451.0983,discrimination-1.12
36,3,58,1,10,2500.5009999999993,variance
37,3,58,16,10,920.7752999999999,variance
38,3,58,22,10,244.1856,variance
39,3,58,61,7,50.4373,variance
40,3,58,62,10,28.0909,variance
41,3,58,86,10,451.0983,variance
42,3,58,1,10,18800.1036,random
43,3,58,16,10,15216.141200000002,random
44,3,58,22,10,22828.8118,random
45,3,58,61,10,24552.357000000004,random
46,3,58,62,10,20452.1334,random
47,3,58,86,10,15024.165999999997,random
48,3,58,1,10,2537.8896000000004,uncertainty
49,3,58,16,10,10032.815000000002,uncertainty
50,3,58,22,10,23980.515,uncertainty
51,3,58,61,7,105.7863,uncertainty
52,3,58,62,10,36.95290000000001,uncertainty
53,3,58,86,10,10422.146999999999,uncertainty
54,5,22,16,10,20485.8215,random
55,5,22,49,10,21862.4083,random
56,5,22,58,10,28129.670999999995,random
57,5,22,61,10,21428.498099999997,random
58,5,22,62,10,28705.309,random
59,5,22,86,10,21784.599599999998,random
60,0,84,6,6,8642.955,random
61,0,84,14,10,29273.4938,random
62,0,84,22,10,29068.958000000002,random
63,0,84,27,10,30813.888399999996,random
64,0,84,32,10,30445.845800000003,random
65,0,84,33,1,3115.2799999999997,random
