,seed,incumbent,challenger,selected_instances,additional_time,selection
0,8,18,2,10,0.2278,discrimination-1.12
1,8,18,7,10,0.20329999999999998,discrimination-1.12
2,8,18,17,10,0.19469999999999998,discrimination-1.12
3,8,18,33,10,0.2592,discrimination-1.12
4,8,18,35,10,0.17940000000000003,discrimination-1.12
5,8,18,47,10,0.237,discrimination-1.12
6,8,18,49,10,0.2491,discrimination-1.12
7,8,18,77,10,0.2385,discrimination-1.12
8,8,18,2,10,1319.4414,random
9,8,18,7,10,2403.6989,random
10,8,18,17,10,1860.3099000000002,random
11,8,18,33,10,2068.3911,random
12,8,18,35,10,638.9694000000001,random
13,8,18,47,10,1846.4116999999999,random
14,8,18,49,10,680.1065999999998,random
15,8,18,77,10,1867.3538,random
16,8,18,2,10,0.3738000000000001,variance
17,8,18,7,10,0.36869999999999997,variance
18,8,18,17,10,0.3353,variance
19,8,18,33,10,0.3587,variance
20,8,18,35,10,0.35009999999999997,variance
21,8,18,47,10,0.3448,variance
22,8,18,49,10,0.31839999999999996,variance
23,8,18,77,10,0.32709999999999995,variance
24,6,34,0,10,1084.8087999999998,random
25,6,34,1,10,466.29690000000005,random
26,6,34,2,10,1042.0054,random
27,6,34,7,10,2762.1186,random
28,6,34,17,10,725.6783,random
29,6,34,36,10,1802.9441000000002,random
30,6,34,77,10,1036.6407000000004,random
31,6,34,86,10,57.0488,random
32,6,34,95,10,2181.3165999999997,random
33,3,34,0,10,0.2212,variance
34,3,34,2,10,0.17340000000000003,variance
35,3,34,17,10,0.17279999999999998,variance
36,3,34,21,10,0.174,variance
37,3,34,22,10,0.1738,variance
38,3,34,49,10,0.1733,variance
39,3,34,58,10,0.1716,variance
40,3,34,77,10,0.1736,variance
41,3,34,95,10,0.22119999999999998,variance
42,3,34,0,10,0.0667,discrimination-1.12
43,3,34,2,10,0.068,discrimination-1.12
44,3,34,17,10,0.0671,discrimination-1.12
45,3,34,21,10,0.0676,discrimination-1.12
46,3,34,22,10,0.065,discrimination-1.12
47,3,34,49,10,0.0874,discrimination-1.12
48,3,34,58,10,0.08560000000000001,discrimination-1.12
49,3,34,77,10,0.06700000000000002,discrimination-1.12
50,3,34,95,10,0.0669,discrimination-1.12
51,6,34,0,10,0.3546,variance
52,6,34,1,10,0.44339999999999996,variance
53,6,34,2,10,0.5909,variance
54,6,34,7,10,0.34669999999999995,variance
55,6,34,17,10,0.38680000000000003,variance
56,6,34,36,10,0.3694,variance
57,6,34,77,10,0.3609,variance
58,6,34,86,10,0.46849999999999997,variance
59,6,34,95,10,0.3567,variance
60,3,34,0,10,1213.9207,random
61,3,34,2,10,1545.5472,random
62,3,34,17,10,1848.1234,random
63,3,34,21,10,48.6798,random
64,3,34,22,10,1952.7035,random
65,3,34,49,10,1980.1444999999999,random
66,3,34,58,10,265.6112,random
67,3,34,77,10,2449.2601000000004,random
68,3,34,95,10,2159.4559000000004,random
69,6,34,0,10,0.1649,discrimination-1.12
70,6,34,1,10,0.1782,discrimination-1.12
71,6,34,2,10,0.2907,discrimination-1.12
72,6,34,7,10,0.2335,discrimination-1.12
73,6,34,17,10,0.27570000000000006,discrimination-1.12
74,6,34,36,10,0.18699999999999997,discrimination-1.12
75,6,34,77,10,0.17700000000000002,discrimination-1.12
76,6,34,86,10,0.2002,discrimination-1.12
77,6,34,95,10,0.2485,discrimination-1.12
78,7,58,7,10,869.6532,random
79,7,58,21,10,3007.0214,random
80,7,58,22,10,1422.4047,random
81,7,58,29,10,1938.214,random
82,7,58,34,10,613.3272,random
83,7,58,37,10,1236.5232,random
84,7,58,71,10,2091.0135,random
85,7,58,72,10,1437.918,random
86,7,58,82,10,3006.9501999999998,random
87,7,58,86,10,1378.4494,random
88,7,58,7,10,0.13269999999999998,discrimination-1.12
89,7,58,21,10,0.1273,discrimination-1.12
90,7,58,22,10,0.1275,discrimination-1.12
91,7,58,29,10,0.1228,discrimination-1.12
92,7,58,34,10,0.1234,discrimination-1.12
93,7,58,37,10,0.123,discrimination-1.12
94,7,58,71,10,0.1766,discrimination-1.12
95,7,58,72,10,0.1294,discrimination-1.12
96,7,58,82,10,0.2791,discrimination-1.12
97,7,58,86,10,0.1408,discrimination-1.12
98,5,34,0,10,0.1925,discrimination-1.12
99,5,34,7,9,0.0757,discrimination-1.12
100,5,34,17,10,0.0797,discrimination-1.12
101,5,34,21,10,0.1361,discrimination-1.12
102,5,34,22,10,0.146,discrimination-1.12
103,5,34,35,4,0.018999999999999996,discrimination-1.12
104,5,34,37,10,0.15189999999999998,discrimination-1.12
105,5,34,49,1,0.004999999999999999,discrimination-1.12
106,5,34,58,10,0.162,discrimination-1.12
107,5,34,77,10,0.16340000000000002,discrimination-1.12
108,5,34,95,10,0.14900000000000002,discrimination-1.12
109,5,34,0,10,0.3841,variance
110,5,34,7,9,0.30060000000000003,variance
111,5,34,17,10,0.3732,variance
112,5,34,21,10,0.3395,variance
113,5,34,22,10,0.4426,variance
114,5,34,35,3,0.0883,variance
115,5,34,37,10,0.5664999999999999,variance
116,5,34,49,1,0.0348,variance
117,5,34,58,10,0.5803,variance
118,5,34,77,10,0.40329999999999994,variance
119,5,34,95,10,0.48689999999999994,variance
120,5,34,0,10,1940.7441999999999,random
121,5,34,7,4,1205.0806,random
122,5,34,17,10,777.1481000000001,random
123,5,34,21,10,1174.4585,random
124,5,34,22,10,978.7843999999999,random
125,5,34,35,9,1219.3343000000002,random
126,5,34,37,9,1823.875,random
127,5,34,49,1,0.986,random
128,5,34,58,10,1676.6025000000002,random
129,5,34,77,10,2410.9723,random
130,5,34,95,10,3243.1895,random
131,7,58,7,10,0.5252,variance
132,7,58,21,10,0.492,variance
133,7,58,22,10,0.48100000000000004,variance
134,7,58,29,10,0.5758,variance
135,7,58,34,10,0.40359999999999996,variance
136,7,58,37,10,0.6485000000000001,variance
137,7,58,71,10,0.8882,variance
138,7,58,72,10,0.8082,variance
139,7,58,82,10,0.7764,variance
140,7,58,86,10,601.0125999999999,variance
141,4,36,0,10,2.4825,variance
142,4,36,1,9,2.1157,variance
143,4,36,2,10,1.2203,variance
144,4,36,7,10,0.9479,variance
145,4,36,21,10,0.7556999999999999,variance
146,4,36,34,7,1.0030999999999999,variance
147,4,36,35,10,1.4773999999999998,variance
148,4,36,47,10,1.1648999999999998,variance
149,4,36,49,10,1.5461,variance
150,4,36,71,10,1.3053,variance
151,4,36,77,10,0.9359,variance
152,4,36,0,10,0.11099999999999999,discrimination-1.12
153,4,36,1,10,0.10709999999999997,discrimination-1.12
154,4,36,2,10,0.15350000000000003,discrimination-1.12
155,4,36,7,10,0.1016,discrimination-1.12
156,4,36,21,10,0.10179999999999999,discrimination-1.12
157,4,36,34,8,0.0598,discrimination-1.12
158,4,36,35,10,0.1018,discrimination-1.12
159,4,36,47,10,0.102,discrimination-1.12
160,4,36,49,10,0.1015,discrimination-1.12
161,4,36,71,10,0.1311,discrimination-1.12
162,4,36,77,10,0.10719999999999999,discrimination-1.12
163,4,36,0,10,2061.3164,random
164,4,36,1,10,1211.4567,random
