,seed,incumbent,challenger,selected_instances,additional_time,selection
0,6,46,29,10,1.8220999999999998,discrimination-1.12
1,6,46,29,10,1.5131999999999999,discrimination-1.01
2,6,46,29,10,1.3350999999999997,discrimination-1.23
3,2,46,29,10,147.57609999999997,discrimination-1.01
4,2,46,29,10,0.9791999999999998,discrimination-1.23
5,2,46,29,10,52.1923,discrimination-1.12
6,2,46,29,3,0.1661,discrimination-1.34
7,8,46,6,10,1.1552,discrimination-1.01
8,8,46,29,10,3.1539,discrimination-1.01
9,8,46,6,10,20.221899999999998,discrimination-1.23
10,8,46,29,10,1.8404,discrimination-1.23
11,8,46,6,10,19.8639,discrimination-1.12
12,8,46,29,10,2.3943,discrimination-1.12
13,4,29,6,10,1.0187,discrimination-1.01
14,4,29,46,10,0.6644,discrimination-1.01
15,4,29,57,10,0.8429000000000001,discrimination-1.01
16,4,29,6,10,0.5656,discrimination-1.23
17,4,29,46,10,0.7986000000000001,discrimination-1.23
18,4,29,57,10,0.4319,discrimination-1.23
19,4,29,6,10,0.536,discrimination-1.12
20,4,29,46,10,0.5886,discrimination-1.12
21,4,29,57,10,0.46399999999999997,discrimination-1.12
22,2,46,29,10,0.7761,discrimination-1.45
23,8,46,6,10,21.5372,discrimination-1.34
24,8,46,29,10,2.1513,discrimination-1.34
25,6,29,46,10,276.50079999999997,discrimination-1.34
26,6,29,51,10,2.2845,discrimination-1.34
27,6,46,29,10,1.1924999999999997,discrimination-1.45
28,9,57,6,10,556.5517,discrimination-1.23
29,9,57,29,10,1.0179,discrimination-1.23
30,9,57,33,10,1.1575,discrimination-1.23
31,9,57,46,10,1.0722,discrimination-1.23
32,9,57,98,10,2.567,discrimination-1.23
33,9,57,6,10,0.5954,discrimination-1.01
34,9,57,29,10,0.8733000000000002,discrimination-1.01
35,9,57,33,10,0.8179,discrimination-1.01
36,9,57,46,10,143.14260000000002,discrimination-1.01
37,9,57,98,10,2.579,discrimination-1.01
38,9,57,6,10,556.7285,discrimination-1.12
39,9,57,29,10,0.8063,discrimination-1.12
40,9,57,33,10,0.8378000000000001,discrimination-1.12
41,9,57,46,10,1.2925000000000002,discrimination-1.12
42,9,57,98,10,2.6666000000000003,discrimination-1.12
43,5,57,6,10,1.4614000000000003,discrimination-1.01
44,5,57,29,10,1.3505,discrimination-1.01
45,5,57,46,10,0.5099,discrimination-1.01
46,5,57,51,10,0.9761000000000002,discrimination-1.01
47,5,57,6,10,1.3951000000000002,discrimination-1.12
48,5,57,29,10,1.3505,discrimination-1.12
49,5,57,46,10,0.5099,discrimination-1.12
50,5,57,51,10,0.9761000000000002,discrimination-1.12
51,5,57,6,10,1.2358,discrimination-1.23
52,5,57,29,10,1.3505,discrimination-1.23
53,5,57,46,10,0.41450000000000004,discrimination-1.23
54,5,57,51,10,0.9761000000000002,discrimination-1.23
55,5,57,6,3,342.7615,discrimination-1.34
56,5,57,29,10,400.4501,discrimination-1.34
57,5,57,51,10,10.306400000000002,discrimination-1.34
58,2,46,29,10,0.5064000000000001,discrimination-1.56
59,6,46,29,10,1.1924999999999997,discrimination-1.56
60,8,46,6,10,21.3842,discrimination-1.45
61,8,46,29,10,2.3943,discrimination-1.45
62,9,57,6,10,0.6518000000000002,discrimination-1.34
63,9,57,29,10,0.7602,discrimination-1.34
64,9,57,33,10,0.7008999999999999,discrimination-1.34
65,9,57,46,10,1.0722,discrimination-1.34
66,9,57,98,10,2.567,discrimination-1.34
67,4,29,6,10,0.5536,discrimination-1.45
68,4,29,46,10,0.483,discrimination-1.45
69,4,29,57,10,0.587,discrimination-1.45
70,4,29,6,10,0.5536,discrimination-1.56
71,4,29,46,10,0.6001000000000001,discrimination-1.56
72,4,29,57,10,0.587,discrimination-1.56
73,5,57,6,10,1.3701000000000003,discrimination-1.45
74,5,57,29,10,0.906,discrimination-1.45
75,5,57,46,10,0.7910999999999999,discrimination-1.45
76,5,57,51,10,0.9761000000000002,discrimination-1.45
77,8,46,6,10,20.749399999999998,discrimination-1.56
78,8,46,29,10,2.3943,discrimination-1.56
79,2,46,29,10,0.5162,discrimination-1.67
80,9,57,6,10,0.5507,discrimination-1.45
81,9,57,29,10,0.8505,discrimination-1.45
82,9,57,33,10,1.1019,discrimination-1.45
83,9,57,46,10,1.1688000000000003,discrimination-1.45
84,9,57,98,10,0.7893000000000001,discrimination-1.45
85,5,57,6,10,1.3951000000000002,discrimination-1.56
86,5,57,29,10,0.906,discrimination-1.56
87,5,57,46,10,0.7910999999999999,discrimination-1.56
88,5,57,51,10,0.8667000000000001,discrimination-1.56
89,6,46,29,10,1.9991999999999999,discrimination-1.67
90,9,57,6,10,556.7349999999999,discrimination-1.56
91,9,57,29,10,0.8495,discrimination-1.56
92,9,57,33,10,1.0157,discrimination-1.56
93,9,57,46,10,1.0190000000000001,discrimination-1.56
94,9,57,98,10,0.8099000000000001,discrimination-1.56
95,4,29,6,10,0.49910000000000004,discrimination-1.67
96,4,29,46,10,0.35810000000000003,discrimination-1.67
97,4,29,57,10,0.587,discrimination-1.67
98,8,46,6,10,21.757299999999997,discrimination-1.67
99,8,46,29,10,2.9153000000000002,discrimination-1.67
100,0,14,3,10,1.3944,discrimination-1.34
101,0,14,7,10,0.8846,discrimination-1.34
102,0,14,10,10,0.9724999999999999,discrimination-1.34
103,0,14,12,10,2.1393,discrimination-1.34
104,0,14,24,10,1.1681000000000001,discrimination-1.34
105,0,14,31,10,1.5414999999999999,discrimination-1.34
106,0,14,36,10,1.7769,discrimination-1.34
107,0,14,43,3,0.3308,discrimination-1.34
108,0,14,64,10,2.5956,discrimination-1.34
109,0,14,77,10,267.37109999999996,discrimination-1.34
110,0,14,88,10,495.6438999999999,discrimination-1.34
111,0,14,98,10,1.6627,discrimination-1.34
112,0,14,99,10,2.1907,discrimination-1.34
113,5,57,6,10,1.4741000000000002,discrimination-1.67
114,5,57,29,10,0.906,discrimination-1.67
115,5,57,46,10,0.7910999999999999,discrimination-1.67
116,5,57,51,10,1.0137,discrimination-1.67
117,0,14,3,10,0.7633999999999999,discrimination-1.23
118,0,14,7,10,0.9189999999999999,discrimination-1.23
119,0,14,10,10,0.9724999999999999,discrimination-1.23
120,0,14,12,10,2.0432,discrimination-1.23
121,0,14,24,10,1.1681000000000001,discrimination-1.23
122,0,14,31,10,1.6412,discrimination-1.23
123,0,14,36,10,2.0656,discrimination-1.23
124,0,14,43,3,0.3308,discrimination-1.23
125,0,14,64,10,1.2866999999999997,discrimination-1.23
126,0,14,77,10,267.24109999999996,discrimination-1.23
127,0,14,88,10,1.1652,discrimination-1.23
128,0,14,98,10,1.6407,discrimination-1.23
129,0,14,99,10,1.5186,discrimination-1.23
130,0,14,3,10,330.1709,discrimination-1.01
131,0,14,7,10,0.6960999999999999,discrimination-1.01
132,0,14,10,10,524.8978,discrimination-1.01
133,0,14,12,10,1.4696,discrimination-1.01
134,0,14,24,10,1.4525,discrimination-1.01
135,0,14,31,10,302.59000000000003,discrimination-1.01
136,0,14,36,10,1.9965000000000002,discrimination-1.01
137,0,14,43,3,0.3308,discrimination-1.01
138,0,14,64,10,3.1467,discrimination-1.01
139,0,14,77,10,267.37109999999996,discrimination-1.01
140,0,14,88,10,271.2819,discrimination-1.01
141,0,14,98,10,312.8636,discrimination-1.01
142,0,14,99,10,2.1525,discrimination-1.01
143,1,14,1,10,1.0523,discrimination-1.34
144,1,14,18,10,1.2224,discrimination-1.34
145,1,14,21,10,2.0145999999999997,discrimination-1.34
146,1,14,35,10,2.4677000000000002,discrimination-1.34
147,1,14,36,9,1.0512,discrimination-1.34
148,1,14,41,10,1.4804000000000002,discrimination-1.34
149,1,14,47,10,0.5759999999999998,discrimination-1.34
150,1,14,61,10,2.4606000000000003,discrimination-1.34
151,1,14,64,10,1.5181,discrimination-1.34
152,1,14,73,10,1.4133000000000004,discrimination-1.34
153,1,14,77,4,0.2701,discrimination-1.34
154,1,14,82,10,1.6602999999999997,discrimination-1.34
155,1,14,95,10,1.2494,discrimination-1.34
156,1,14,1,10,0.5374,discrimination-1.01
157,1,14,18,10,1.4351,discrimination-1.01
158,1,14,21,10,1.7006999999999999,discrimination-1.01
159,1,14,35,10,1.2552,discrimination-1.01
160,1,14,36,6,0.7786,discrimination-1.01
161,1,14,41,10,1.7746,discrimination-1.01
162,1,14,47,10,1.2134,discrimination-1.01
163,1,14,61,10,1.9498,discrimination-1.01
164,1,14,64,10,0.7124999999999999,discrimination-1.01
165,1,14,73,10,2.8117,discrimination-1.01
166,1,14,77,4,0.2701,discrimination-1.01
167,1,14,82,10,1.6839,discrimination-1.01
168,1,14,95,10,1.3044,discrimination-1.01
169,1,14,1,10,0.802,discrimination-1.12
170,1,14,18,10,0.4862,discrimination-1.12
