id,configuration string
0,-barrier_algorithm '2' -barrier_crossover '1' -barrier_limits_corrections '46870' -barrier_limits_growth '1.100147045956071E9' -barrier_ordering '2' -barrier_startalg '4' -emphasis_memory 'no' -emphasis_mip '1' -emphasis_numerical 'no' -feasopt_mode '1' -lpmethod '4' -mip_cuts_cliques '3' -mip_cuts_covers '3' -mip_cuts_disjunctive '2' -mip_cuts_flowcovers '2' -mip_cuts_gomory '0' -mip_cuts_gubcovers '0' -mip_cuts_implied '0' -mip_cuts_mcfcut '2' -mip_cuts_mircut '2' -mip_cuts_pathcut '1' -mip_cuts_zerohalfcut '0' -mip_limits_aggforcut '37227' -mip_limits_cutpasses '60659' -mip_limits_cutsfactor '2.19858514875134' -mip_limits_gomorycand '1' -mip_limits_gomorypass '1325' -mip_limits_submipnodelim '14167' -mip_ordertype '3' -mip_strategy_backtrack '0.4736080437773251' -mip_strategy_bbinterval '6275' -mip_strategy_branch '1' -mip_strategy_dive '3' -mip_strategy_file '1' -mip_strategy_fpheur '-1' -mip_strategy_heuristicfreq '47226.38148429787' -mip_strategy_lbheur 'no' -mip_strategy_nodeselect '0' -mip_strategy_order 'no' -mip_strategy_presolvenode '-1' -mip_strategy_probe '-1' -mip_strategy_rinsheur '34199' -mip_strategy_search '1' -mip_strategy_startalgorithm '4' -mip_strategy_subalgorithm '3' -mip_strategy_variableselect '4' -network_netfind '2' -network_pricing '0' -perturbation_constant '4.458642085338706E-5' -preprocessing_aggregator '37252' -preprocessing_boundstrength '0' -preprocessing_coeffreduce '0' -preprocessing_dependency '2' -preprocessing_dual '1' -preprocessing_fill '678' -preprocessing_linear '1' -preprocessing_numpass '25328' -preprocessing_reduce '3' -preprocessing_relax '-1' -preprocessing_repeatpresolve '-1' -preprocessing_symmetry '4' -read_scale '1' -sifting_algorithm '2' -simplex_crash '-1' -simplex_dgradient '4' -simplex_limits_perturbation '6506' -simplex_limits_singularity '45917' -simplex_perturbation_switch 'yes' -simplex_pgradient '2' -simplex_pricing '11200' -simplex_refactor '3581.521679301007' -simplex_tolerances_markowitz '0.10062640812510942'
1,-barrier_algorithm '1' -barrier_crossover '2' -barrier_limits_corrections '47206' -barrier_limits_growth '1.0039579539716494' -barrier_ordering '1' -barrier_startalg '4' -emphasis_memory 'no' -emphasis_mip '1' -emphasis_numerical 'yes' -feasopt_mode '4' -lpmethod '6' -mip_cuts_cliques '0' -mip_cuts_covers '0' -mip_cuts_disjunctive '-1' -mip_cuts_flowcovers '0' -mip_cuts_gomory '2' -mip_cuts_gubcovers '1' -mip_cuts_implied '2' -mip_cuts_mcfcut '0' -mip_cuts_mircut '0' -mip_cuts_pathcut '1' -mip_cuts_zerohalfcut '1' -mip_limits_aggforcut '13398' -mip_limits_cutpasses '57548' -mip_limits_cutsfactor '1.3549136893051488' -mip_limits_gomorycand '1349' -mip_limits_gomorypass '27348' -mip_limits_submipnodelim '5' -mip_ordertype '3' -mip_strategy_backtrack '0.7159705157318945' -mip_strategy_bbinterval '6413' -mip_strategy_branch '0' -mip_strategy_dive '2' -mip_strategy_file '1' -mip_strategy_fpheur '2' -mip_strategy_heuristicfreq '56688.967670514314' -mip_strategy_lbheur 'no' -mip_strategy_nodeselect '0' -mip_strategy_order 'no' -mip_strategy_presolvenode '-1' -mip_strategy_probe '0' -mip_strategy_rinsheur '11129' -mip_strategy_search '1' -mip_strategy_startalgorithm '5' -mip_strategy_subalgorithm '5' -mip_strategy_variableselect '2' -network_netfind '2' -network_pricing '1' -preprocessing_aggregator '34941' -preprocessing_boundstrength '1' -preprocessing_coeffreduce '3' -preprocessing_dependency '3' -preprocessing_dual '1' -preprocessing_fill '1630' -preprocessing_linear '1' -preprocessing_numpass '27035' -preprocessing_reduce '0' -preprocessing_relax '1' -preprocessing_repeatpresolve '-1' -preprocessing_symmetry '-1' -read_scale '-1' -sifting_algorithm '1' -simplex_crash '0' -simplex_dgradient '3' -simplex_limits_perturbation '29237' -simplex_limits_singularity '7' -simplex_perturbation_switch 'no' -simplex_pgradient '3' -simplex_pricing '30752' -simplex_refactor '961.7226263305756' -simplex_tolerances_markowitz '0.4106212397263407'
2,-barrier_algorithm '1' -barrier_crossover '-1' -barrier_limits_corrections '1698' -barrier_limits_growth '1.7576697323492447E8' -barrier_ordering '1' -barrier_startalg '2' -emphasis_memory 'no' -emphasis_mip '0' -emphasis_numerical 'yes' -feasopt_mode '0' -lpmethod '6' -mip_cuts_cliques '1' -mip_cuts_covers '1' -mip_cuts_disjunctive '0' -mip_cuts_flowcovers '0' -mip_cuts_gomory '0' -mip_cuts_gubcovers '0' -mip_cuts_implied '1' -mip_cuts_mcfcut '1' -mip_cuts_mircut '2' -mip_cuts_pathcut '1' -mip_cuts_zerohalfcut '1' -mip_limits_aggforcut '8819' -mip_limits_cutpasses '33657' -mip_limits_cutsfactor '7.733029714591335' -mip_limits_gomorycand '5223' -mip_limits_gomorypass '55966' -mip_limits_submipnodelim '1' -mip_ordertype '2' -mip_strategy_backtrack '0.2970183501435295' -mip_strategy_bbinterval '15' -mip_strategy_branch '-1' -mip_strategy_dive '0' -mip_strategy_file '0' -mip_strategy_fpheur '-1' -mip_strategy_heuristicfreq '32392.774020259087' -mip_strategy_lbheur 'no' -mip_strategy_nodeselect '0' -mip_strategy_order 'yes' -mip_strategy_presolvenode '3' -mip_strategy_probe '0' -mip_strategy_rinsheur '14437' -mip_strategy_search '0' -mip_strategy_startalgorithm '2' -mip_strategy_subalgorithm '3' -mip_strategy_variableselect '-1' -network_netfind '1' -network_pricing '0' -preprocessing_aggregator '31657' -preprocessing_boundstrength '0' -preprocessing_coeffreduce '2' -preprocessing_dependency '-1' -preprocessing_dual '1' -preprocessing_fill '5760' -preprocessing_linear '1' -preprocessing_numpass '7829' -preprocessing_reduce '0' -preprocessing_relax '0' -preprocessing_repeatpresolve '1' -preprocessing_symmetry '3' -read_scale '1' -sifting_algorithm '0' -simplex_crash '1' -simplex_dgradient '1' -simplex_limits_perturbation '65094' -simplex_limits_singularity '21' -simplex_perturbation_switch 'no' -simplex_pgradient '0' -simplex_pricing '53030' -simplex_refactor '3536.753770196316' -simplex_tolerances_markowitz '0.007436176180699061'
3,-barrier_algorithm '2' -barrier_crossover '-1' -barrier_limits_corrections '46408' -barrier_limits_growth '23097.81962257961' -barrier_ordering '2' -barrier_startalg '3' -emphasis_memory 'no' -emphasis_mip '4' -emphasis_numerical 'no' -feasopt_mode '1' -lpmethod '3' -mip_cuts_cliques '3' -mip_cuts_covers '2' -mip_cuts_disjunctive '3' -mip_cuts_flowcovers '-1' -mip_cuts_gomory '-1' -mip_cuts_gubcovers '0' -mip_cuts_implied '1' -mip_cuts_mcfcut '-1' -mip_cuts_mircut '-1' -mip_cuts_pathcut '0' -mip_cuts_zerohalfcut '0' -mip_limits_aggforcut '42542' -mip_limits_cutpasses '18250' -mip_limits_cutsfactor '1807.8554366577455' -mip_limits_gomorycand '528' -mip_limits_gomorypass '1571' -mip_limits_submipnodelim '67' -mip_ordertype '1' -mip_strategy_backtrack '0.3063606276085662' -mip_strategy_bbinterval '502' -mip_strategy_branch '0' -mip_strategy_dive '0' -mip_strategy_file '0' -mip_strategy_fpheur '1' -mip_strategy_heuristicfreq '49653.34939483863' -mip_strategy_lbheur 'no' -mip_strategy_nodeselect '1' -mip_strategy_order 'yes' -mip_strategy_presolvenode '1' -mip_strategy_probe '1' -mip_strategy_rinsheur '25425' -mip_strategy_search '2' -mip_strategy_startalgorithm '4' -mip_strategy_subalgorithm '2' -mip_strategy_variableselect '4' -network_netfind '1' -network_pricing '0' -perturbation_constant '0.1669832527055469' -preprocessing_aggregator '55426' -preprocessing_boundstrength '-1' -preprocessing_coeffreduce '1' -preprocessing_dependency '3' -preprocessing_dual '0' -preprocessing_fill '1104' -preprocessing_linear '1' -preprocessing_numpass '46763' -preprocessing_reduce '0' -preprocessing_relax '-1' -preprocessing_repeatpresolve '1' -preprocessing_symmetry '2' -read_scale '0' -sifting_algorithm '4' -simplex_crash '1' -simplex_dgradient '4' -simplex_limits_perturbation '39952' -simplex_limits_singularity '5' -simplex_perturbation_switch 'yes' -simplex_pgradient '-1' -simplex_pricing '43429' -simplex_refactor '8710.720432324388' -simplex_tolerances_markowitz '0.17574209475698524'
4,-barrier_algorithm '3' -barrier_crossover '2' -barrier_limits_corrections '35862' -barrier_limits_growth '3.892830507489028E14' -barrier_ordering '2' -barrier_startalg '3' -emphasis_memory 'no' -emphasis_mip '0' -emphasis_numerical 'yes' -feasopt_mode '4' -lpmethod '2' -mip_cuts_cliques '0' -mip_cuts_covers '-1' -mip_cuts_disjunctive '2' -mip_cuts_flowcovers '0' -mip_cuts_gomory '2' -mip_cuts_gubcovers '0' -mip_cuts_implied '1' -mip_cuts_mcfcut '2' -mip_cuts_mircut '-1' -mip_cuts_pathcut '-1' -mip_cuts_zerohalfcut '1' -mip_limits_aggforcut '56557' -mip_limits_cutpasses '64448' -mip_limits_cutsfactor '6.153777080122829' -mip_limits_gomorycand '570' -mip_limits_gomorypass '588' -mip_limits_strongcand '48' -mip_limits_strongit '2894' -mip_limits_submipnodelim '39323' -mip_ordertype '1' -mip_strategy_backtrack '0.019024743869562544' -mip_strategy_bbinterval '1' -mip_strategy_branch '0' -mip_strategy_dive '3' -mip_strategy_file '0' -mip_strategy_fpheur '-1' -mip_strategy_heuristicfreq '28923.21687006698' -mip_strategy_lbheur 'yes' -mip_strategy_nodeselect '2' -mip_strategy_order 'yes' -mip_strategy_presolvenode '2' -mip_strategy_probe '1' -mip_strategy_rinsheur '48062' -mip_strategy_search '0' -mip_strategy_startalgorithm '4' -mip_strategy_subalgorithm '5' -mip_strategy_variableselect '3' -network_netfind '2' -network_pricing '1' -preprocessing_aggregator '7089' -preprocessing_boundstrength '1' -preprocessing_coeffreduce '2' -preprocessing_dependency '3' -preprocessing_dual '-1' -preprocessing_fill '241' -preprocessing_linear '1' -preprocessing_numpass '20716' -preprocessing_reduce '0' -preprocessing_relax '0' -preprocessing_repeatpresolve '2' -preprocessing_symmetry '5' -read_scale '-1' -sifting_algorithm '2' -simplex_crash '-1' -simplex_dgradient '3' -simplex_limits_perturbation '9093' -simplex_limits_singularity '448' -simplex_perturbation_switch 'no' -simplex_pgradient '2' -simplex_pricing '30654' -simplex_refactor '3587.663658511586' -simplex_tolerances_markowitz '2.1511602883619215E-4'
5,-barrier_algorithm '0' -barrier_crossover '-1' -barrier_limits_corrections '57064' -barrier_limits_growth '1261.2095743229625' -barrier_ordering '3' -barrier_startalg '4' -emphasis_memory 'no' -emphasis_mip '2' -emphasis_numerical 'no' -feasopt_mode '3' -lpmethod '5' -mip_cuts_cliques '0' -mip_cuts_covers '3' -mip_cuts_disjunctive '3' -mip_cuts_flowcovers '0' -mip_cuts_gomory '2' -mip_cuts_gubcovers '-1' -mip_cuts_implied '2' -mip_cuts_mcfcut '-1' -mip_cuts_mircut '1' -mip_cuts_pathcut '1' -mip_cuts_zerohalfcut '2' -mip_limits_aggforcut '28921' -mip_limits_cutpasses '10374' -mip_limits_cutsfactor '17305.86007205145' -mip_limits_gomorycand '13' -mip_limits_gomorypass '27147' -mip_limits_submipnodelim '464' -mip_ordertype '2' -mip_strategy_backtrack '0.7318711022409665' -mip_strategy_bbinterval '1' -mip_strategy_branch '1' -mip_strategy_dive '1' -mip_strategy_file '1' -mip_strategy_fpheur '0' -mip_strategy_heuristicfreq '54622.78041422294' -mip_strategy_lbheur 'no' -mip_strategy_nodeselect '0' -mip_strategy_order 'no' -mip_strategy_presolvenode '3' -mip_strategy_probe '-1' -mip_strategy_rinsheur '62929' -mip_strategy_search '1' -mip_strategy_startalgorithm '6' -mip_strategy_subalgorithm '4' -mip_strategy_variableselect '0' -network_netfind '1' -network_pricing '1' -perturbation_constant '0.0039696197134698' -preprocessing_aggregator '51086' -preprocessing_boundstrength '-1' -preprocessing_coeffreduce '2' -preprocessing_dependency '0' -preprocessing_dual '1' -preprocessing_fill '1' -preprocessing_linear '1' -preprocessing_numpass '53488' -preprocessing_reduce '3' -preprocessing_relax '1' -preprocessing_repeatpresolve '3' -preprocessing_symmetry '1' -read_scale '1' -sifting_algorithm '2' -simplex_crash '0' -simplex_dgradient '0' -simplex_limits_perturbation '13091' -simplex_limits_singularity '1837' -simplex_perturbation_switch 'yes' -simplex_pgradient '0' -simplex_pricing '37992' -simplex_refactor '645.0689433432822' -simplex_tolerances_markowitz '5.116545548136238E-4'
6,-barrier_algorithm '3' -barrier_crossover '2' -barrier_limits_corrections '21755' -barrier_limits_growth '2.0817891527182146E12' -barrier_ordering '0' -barrier_startalg '2' -emphasis_memory 'no' -emphasis_mip '4' -emphasis_numerical 'no' -feasopt_mode '0' -lpmethod '4' -mip_cuts_cliques '1' -mip_cuts_covers '2' -mip_cuts_disjunctive '0' -mip_cuts_flowcovers '0' -mip_cuts_gomory '0' -mip_cuts_gubcovers '1' -mip_cuts_implied '2' -mip_cuts_mcfcut '0' -mip_cuts_mircut '2' -mip_cuts_pathcut '1' -mip_cuts_zerohalfcut '0' -mip_limits_aggforcut '33950' -mip_limits_cutpasses '37935' -mip_limits_cutsfactor '1283.321933155582' -mip_limits_gomorycand '58405' -mip_limits_gomorypass '53730' -mip_limits_submipnodelim '8214' -mip_ordertype '0' -mip_strategy_backtrack '0.6738346773182934' -mip_strategy_bbinterval '3' -mip_strategy_branch '1' -mip_strategy_dive '2' -mip_strategy_file '1' -mip_strategy_fpheur '1' -mip_strategy_heuristicfreq '28999.368692321143' -mip_strategy_lbheur 'no' -mip_strategy_nodeselect '0' -mip_strategy_presolvenode '0' -mip_strategy_probe '0' -mip_strategy_rinsheur '26427' -mip_strategy_search '0' -mip_strategy_startalgorithm '0' -mip_strategy_subalgorithm '2' -mip_strategy_variableselect '0' -network_netfind '2' -network_pricing '2' -perturbation_constant '1.108951192192031E-6' -preprocessing_aggregator '43994' -preprocessing_boundstrength '0' -preprocessing_coeffreduce '-1' -preprocessing_dependency '3' -preprocessing_dual '0' -preprocessing_fill '31323' -preprocessing_linear '0' -preprocessing_numpass '53844' -preprocessing_reduce '1' -preprocessing_relax '1' -preprocessing_repeatpresolve '3' -preprocessing_symmetry '1' -read_scale '1' -sifting_algorithm '1' -simplex_crash '-1' -simplex_dgradient '0' -simplex_limits_perturbation '46533' -simplex_limits_singularity '37' -simplex_perturbation_switch 'yes' -simplex_pgradient '1' -simplex_pricing '47984' -simplex_refactor '2438.3708957520944' -simplex_tolerances_markowitz '0.05231522024421957'
7,-barrier_algorithm '0' -barrier_crossover '-1' -barrier_limits_corrections '51112' -barrier_limits_growth '3768240.2223793087' -barrier_ordering '2' -barrier_startalg '2' -emphasis_memory 'no' -emphasis_mip '0' -emphasis_numerical 'no' -feasopt_mode '3' -lpmethod '1' -mip_cuts_cliques '2' -mip_cuts_covers '0' -mip_cuts_disjunctive '-1' -mip_cuts_flowcovers '0' -mip_cuts_gomory '-1' -mip_cuts_gubcovers '0' -mip_cuts_implied '1' -mip_cuts_mcfcut '1' -mip_cuts_mircut '2' -mip_cuts_pathcut '2' -mip_cuts_zerohalfcut '0' -mip_limits_aggforcut '24965' -mip_limits_cutpasses '4320' -mip_limits_cutsfactor '24.425618796305994' -mip_limits_gomorycand '22585' -mip_limits_gomorypass '13984' -mip_limits_submipnodelim '1' -mip_ordertype '2' -mip_strategy_backtrack '0.2548940621335729' -mip_strategy_bbinterval '11363' -mip_strategy_branch '-1' -mip_strategy_dive '2' -mip_strategy_file '1' -mip_strategy_fpheur '2' -mip_strategy_heuristicfreq '61447.47571598578' -mip_strategy_lbheur 'yes' -mip_strategy_nodeselect '2' -mip_strategy_order 'yes' -mip_strategy_presolvenode '-1' -mip_strategy_probe '2' -mip_strategy_rinsheur '43844' -mip_strategy_search '2' -mip_strategy_startalgorithm '1' -mip_strategy_subalgorithm '5' -mip_strategy_variableselect '0' -network_netfind '3' -network_pricing '1' -preprocessing_aggregator '31286' -preprocessing_boundstrength '0' -preprocessing_coeffreduce '3' -preprocessing_dependency '-1' -preprocessing_dual '0' -preprocessing_fill '4291' -preprocessing_linear '0' -preprocessing_numpass '11767' -preprocessing_reduce '0' -preprocessing_relax '1' -preprocessing_repeatpresolve '3' -preprocessing_symmetry '3' -read_scale '-1' -sifting_algorithm '0' -simplex_crash '1' -simplex_dgradient '1' -simplex_limits_perturbation '18528' -simplex_limits_singularity '25832' -simplex_perturbation_switch 'no' -simplex_pgradient '3' -simplex_pricing '27443' -simplex_refactor '9862.231449249874' -simplex_tolerances_markowitz '0.1493638613786822'
8,-barrier_algorithm '3' -barrier_crossover '-1' -barrier_limits_corrections '63474' -barrier_limits_growth '1.0912346442338602E13' -barrier_ordering '2' -barrier_startalg '4' -emphasis_memory 'no' -emphasis_mip '0' -emphasis_numerical 'yes' -feasopt_mode '2' -lpmethod '0' -mip_cuts_cliques '3' -mip_cuts_covers '2' -mip_cuts_disjunctive '3' -mip_cuts_flowcovers '1' -mip_cuts_gomory '2' -mip_cuts_gubcovers '0' -mip_cuts_implied '2' -mip_cuts_mcfcut '1' -mip_cuts_mircut '-1' -mip_cuts_pathcut '1' -mip_cuts_zerohalfcut '1' -mip_limits_aggforcut '49866' -mip_limits_cutpasses '46685' -mip_limits_cutsfactor '965.3443022294413' -mip_limits_gomorycand '76' -mip_limits_gomorypass '18944' -mip_limits_submipnodelim '7' -mip_ordertype '0' -mip_strategy_backtrack '0.2921424803565523' -mip_strategy_bbinterval '1449' -mip_strategy_branch '-1' -mip_strategy_dive '1' -mip_strategy_file '0' -mip_strategy_fpheur '-1' -mip_strategy_heuristicfreq '28849.80881325189' -mip_strategy_lbheur 'no' -mip_strategy_nodeselect '1' -mip_strategy_presolvenode '1' -mip_strategy_probe '1' -mip_strategy_rinsheur '22639' -mip_strategy_search '1' -mip_strategy_startalgorithm '2' -mip_strategy_subalgorithm '2' -mip_strategy_variableselect '1' -network_netfind '3' -network_pricing '2' -perturbation_constant '1.1160178672254548E-5' -preprocessing_aggregator '50079' -preprocessing_boundstrength '0' -preprocessing_coeffreduce '-1' -preprocessing_dependency '0' -preprocessing_dual '-1' -preprocessing_fill '82' -preprocessing_linear '0' -preprocessing_numpass '43599' -preprocessing_reduce '0' -preprocessing_relax '-1' -preprocessing_repeatpresolve '3' -preprocessing_symmetry '-1' -read_scale '0' -sifting_algorithm '1' -simplex_crash '0' -simplex_dgradient '3' -simplex_limits_perturbation '45019' -simplex_limits_singularity '1' -simplex_perturbation_switch 'yes' -simplex_pgradient '3' -simplex_pricing '14838' -simplex_refactor '5699.355987305125' -simplex_tolerances_markowitz '0.0011092165191809412'
9,-barrier_algorithm '0' -barrier_crossover '0' -barrier_limits_corrections '32890' -barrier_limits_growth '2.732746118365885E7' -barrier_ordering '0' -barrier_startalg '2' -emphasis_memory 'no' -emphasis_mip '0' -emphasis_numerical 'yes' -feasopt_mode '2' -lpmethod '0' -mip_cuts_cliques '0' -mip_cuts_covers '2' -mip_cuts_disjunctive '1' -mip_cuts_flowcovers '-1' -mip_cuts_gomory '0' -mip_cuts_gubcovers '0' -mip_cuts_implied '0' -mip_cuts_mcfcut '-1' -mip_cuts_mircut '0' -mip_cuts_pathcut '2' -mip_cuts_zerohalfcut '0' -mip_limits_aggforcut '62322' -mip_limits_cutpasses '2538' -mip_limits_cutsfactor '2329.335665571052' -mip_limits_gomorycand '427' -mip_limits_gomorypass '58851' -mip_limits_submipnodelim '1966' -mip_ordertype '1' -mip_strategy_backtrack '0.6295510335928004' -mip_strategy_bbinterval '389' -mip_strategy_branch '-1' -mip_strategy_dive '1' -mip_strategy_file '1' -mip_strategy_fpheur '2' -mip_strategy_heuristicfreq '24588.719534902113' -mip_strategy_lbheur 'no' -mip_strategy_nodeselect '3' -mip_strategy_order 'yes' -mip_strategy_presolvenode '0' -mip_strategy_probe '2' -mip_strategy_rinsheur '34149' -mip_strategy_search '0' -mip_strategy_startalgorithm '6' -mip_strategy_subalgorithm '3' -mip_strategy_variableselect '2' -network_netfind '3' -network_pricing '1' -perturbation_constant '0.584477901472195' -preprocessing_aggregator '12158' -preprocessing_boundstrength '0' -preprocessing_coeffreduce '1' -preprocessing_dependency '0' -preprocessing_dual '0' -preprocessing_fill '21720' -preprocessing_linear '1' -preprocessing_numpass '38027' -preprocessing_reduce '0' -preprocessing_relax '-1' -preprocessing_repeatpresolve '-1' -preprocessing_symmetry '5' -read_scale '1' -sifting_algorithm '1' -simplex_crash '-1' -simplex_dgradient '2' -simplex_limits_perturbation '9185' -simplex_limits_singularity '19917' -simplex_perturbation_switch 'yes' -simplex_pgradient '1' -simplex_pricing '60931' -simplex_refactor '3927.811340023454' -simplex_tolerances_markowitz '0.0014366310247099457'
