id,instance name
0,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s103214-b04-h40-n5.lp
1,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s103214-b06-h40-n5.lp
2,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s103214-b08-h40-n5.lp
3,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s103214-b10-h40-n5.lp
4,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s103214-b12-h40-n5.lp
5,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s103214-b14-h40-n5.lp
6,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s103214-b16-h40-n5.lp
7,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s103214-b18-h40-n5.lp
8,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s103214-b20-h40-n5.lp
9,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s118973-b04-h40-n5.lp
10,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s118973-b06-h40-n5.lp
11,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s118973-b08-h40-n5.lp
12,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s118973-b10-h40-n5.lp
13,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s118973-b12-h40-n5.lp
14,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s118973-b14-h40-n5.lp
15,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s118973-b16-h40-n5.lp
16,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s118973-b18-h40-n5.lp
17,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s118973-b20-h40-n5.lp
18,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s191589-b04-h40-n5.lp
19,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s191589-b06-h40-n5.lp
20,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s191589-b08-h40-n5.lp
21,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s191589-b10-h40-n5.lp
22,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s191589-b12-h40-n5.lp
23,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s191589-b14-h40-n5.lp
24,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s191589-b16-h40-n5.lp
25,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s191589-b18-h40-n5.lp
26,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s191589-b20-h40-n5.lp
27,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s198152-b04-h40-n5.lp
28,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s198152-b06-h40-n5.lp
29,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s198152-b08-h40-n5.lp
30,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s198152-b10-h40-n5.lp
31,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s198152-b12-h40-n5.lp
32,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s198152-b14-h40-n5.lp
33,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s198152-b16-h40-n5.lp
34,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s198152-b18-h40-n5.lp
35,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s198152-b20-h40-n5.lp
36,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s198740-b04-h40-n5.lp
37,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s198740-b06-h40-n5.lp
38,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s198740-b08-h40-n5.lp
39,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s198740-b10-h40-n5.lp
40,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s198740-b12-h40-n5.lp
41,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s198740-b14-h40-n5.lp
42,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s198740-b16-h40-n5.lp
43,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s198740-b18-h40-n5.lp
44,/home/manastac/benchmarks/instances/mip/data/RCW2/map1027-s198740-b20-h40-n5.lp
45,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s142554-b04-h40-n5.lp
46,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s142554-b06-h40-n5.lp
47,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s142554-b08-h40-n5.lp
48,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s142554-b10-h40-n5.lp
49,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s142554-b12-h40-n5.lp
50,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s142554-b14-h40-n5.lp
51,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s142554-b16-h40-n5.lp
52,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s142554-b18-h40-n5.lp
53,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s142554-b20-h40-n5.lp
54,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s151612-b04-h40-n5.lp
55,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s151612-b06-h40-n5.lp
56,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s151612-b08-h40-n5.lp
57,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s151612-b10-h40-n5.lp
58,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s151612-b12-h40-n5.lp
59,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s151612-b14-h40-n5.lp
60,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s151612-b16-h40-n5.lp
61,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s151612-b18-h40-n5.lp
62,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s151612-b20-h40-n5.lp
63,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s154133-b04-h40-n5.lp
64,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s154133-b06-h40-n5.lp
65,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s154133-b08-h40-n5.lp
66,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s154133-b10-h40-n5.lp
67,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s154133-b12-h40-n5.lp
68,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s154133-b14-h40-n5.lp
69,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s154133-b16-h40-n5.lp
70,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s154133-b18-h40-n5.lp
71,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s154133-b20-h40-n5.lp
72,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s181298-b04-h40-n5.lp
73,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s181298-b06-h40-n5.lp
74,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s181298-b08-h40-n5.lp
75,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s181298-b10-h40-n5.lp
76,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s181298-b12-h40-n5.lp
77,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s181298-b14-h40-n5.lp
78,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s181298-b16-h40-n5.lp
79,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s181298-b18-h40-n5.lp
80,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s181298-b20-h40-n5.lp
81,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s188530-b04-h40-n5.lp
82,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s188530-b06-h40-n5.lp
83,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s188530-b08-h40-n5.lp
84,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s188530-b10-h40-n5.lp
85,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s188530-b12-h40-n5.lp
86,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s188530-b14-h40-n5.lp
87,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s188530-b16-h40-n5.lp
88,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s188530-b18-h40-n5.lp
89,/home/manastac/benchmarks/instances/mip/data/RCW2/map1170-s188530-b20-h40-n5.lp
90,/home/manastac/benchmarks/instances/mip/data/RCW2/map1352-s12678-b04-h40-n5.lp
91,/home/manastac/benchmarks/instances/mip/data/RCW2/map1352-s12678-b06-h40-n5.lp
92,/home/manastac/benchmarks/instances/mip/data/RCW2/map1352-s12678-b08-h40-n5.lp
93,/home/manastac/benchmarks/instances/mip/data/RCW2/map1352-s12678-b10-h40-n5.lp
94,/home/manastac/benchmarks/instances/mip/data/RCW2/map1352-s12678-b12-h40-n5.lp
95,/home/manastac/benchmarks/instances/mip/data/RCW2/map1352-s12678-b14-h40-n5.lp
96,/home/manastac/benchmarks/instances/mip/data/RCW2/map1352-s12678-b16-h40-n5.lp
