id,instance name
0,/home/manastac/benchmarks/instances/sat/data/CIRCUITFUZZ-CSSC14/instances/Sat_Data/circuit_fuzz/fuzz_100_30360.cnf
1,/home/manastac/benchmarks/instances/sat/data/CIRCUITFUZZ-CSSC14/instances/Sat_Data/circuit_fuzz/fuzz_100_28141.cnf
2,/home/manastac/benchmarks/instances/sat/data/CIRCUITFUZZ-CSSC14/instances/Sat_Data/circuit_fuzz/fuzz_100_28405.cnf
3,/home/manastac/benchmarks/instances/sat/data/CIRCUITFUZZ-CSSC14/instances/Sat_Data/circuit_fuzz/fuzz_100_25509.cnf
4,/home/manastac/benchmarks/instances/sat/data/CIRCUITFUZZ-CSSC14/instances/Sat_Data/circuit_fuzz/fuzz_100_22184.cnf
5,/home/manastac/benchmarks/instances/sat/data/CIRCUITFUZZ-CSSC14/instances/Sat_Data/circuit_fuzz/fuzz_100_29562.cnf
6,/home/manastac/benchmarks/instances/sat/data/CIRCUITFUZZ-CSSC14/instances/Sat_Data/circuit_fuzz/fuzz_100_15200.cnf
7,/home/manastac/benchmarks/instances/sat/data/CIRCUITFUZZ-CSSC14/instances/Sat_Data/circuit_fuzz/fuzz_100_21049.cnf
8,/home/manastac/benchmarks/instances/sat/data/CIRCUITFUZZ-CSSC14/instances/Sat_Data/circuit_fuzz/fuzz_100_10756.cnf
9,/home/manastac/benchmarks/instances/sat/data/CIRCUITFUZZ-CSSC14/instances/Sat_Data/circuit_fuzz/fuzz_100_12729.cnf
10,/home/manastac/benchmarks/instances/sat/data/CIRCUITFUZZ-CSSC14/instances/Sat_Data/circuit_fuzz/fuzz_100_14272.cnf
11,/home/manastac/benchmarks/instances/sat/data/CIRCUITFUZZ-CSSC14/instances/Sat_Data/circuit_fuzz/fuzz_100_30181.cnf
12,/home/manastac/benchmarks/instances/sat/data/CIRCUITFUZZ-CSSC14/instances/Sat_Data/circuit_fuzz/fuzz_100_7563.cnf
13,/home/manastac/benchmarks/instances/sat/data/CIRCUITFUZZ-CSSC14/instances/Sat_Data/circuit_fuzz/fuzz_100_28753.cnf
14,/home/manastac/benchmarks/instances/sat/data/CIRCUITFUZZ-CSSC14/instances/Sat_Data/circuit_fuzz/fuzz_100_17975.cnf
15,/home/manastac/benchmarks/instances/sat/data/CIRCUITFUZZ-CSSC14/instances/Sat_Data/circuit_fuzz/fuzz_100_28747.cnf
16,/home/manastac/benchmarks/instances/sat/data/CIRCUITFUZZ-CSSC14/instances/Sat_Data/circuit_fuzz/fuzz_100_9659.cnf
17,/home/manastac/benchmarks/instances/sat/data/CIRCUITFUZZ-CSSC14/instances/Sat_Data/circuit_fuzz/fuzz_100_60.cnf
18,/home/manastac/benchmarks/instances/sat/data/CIRCUITFUZZ-CSSC14/instances/Sat_Data/circuit_fuzz/fuzz_100_19.cnf
19,/home/manastac/benchmarks/instances/sat/data/CIRCUITFUZZ-CSSC14/instances/Sat_Data/circuit_fuzz/fuzz_100_523.cnf
20,/home/manastac/benchmarks/instances/sat/data/CIRCUITFUZZ-CSSC14/instances/Sat_Data/circuit_fuzz/fuzz_100_4111.cnf
21,/home/manastac/benchmarks/instances/sat/data/CIRCUITFUZZ-CSSC14/instances/Sat_Data/circuit_fuzz/fuzz_100_33.cnf
22,/home/manastac/benchmarks/instances/sat/data/CIRCUITFUZZ-CSSC14/instances/Sat_Data/circuit_fuzz/fuzz_100_17322.cnf
23,/home/manastac/benchmarks/instances/sat/data/CIRCUITFUZZ-CSSC14/instances/Sat_Data/circuit_fuzz/fuzz_100_8451.cnf
24,/home/manastac/benchmarks/instances/sat/data/CIRCUITFUZZ-CSSC14/instances/Sat_Data/circuit_fuzz/fuzz_100_26869.cnf
25,/home/manastac/benchmarks/instances/sat/data/CIRCUITFUZZ-CSSC14/instances/Sat_Data/circuit_fuzz/fuzz_100_142.cnf
26,/home/manastac/benchmarks/instances/sat/data/CIRCUITFUZZ-CSSC14/instances/Sat_Data/circuit_fuzz/fuzz_100_489.cnf
27,/home/manastac/benchmarks/instances/sat/data/CIRCUITFUZZ-CSSC14/instances/Sat_Data/circuit_fuzz/fuzz_100_6758.cnf
28,/home/manastac/benchmarks/instances/sat/data/CIRCUITFUZZ-CSSC14/instances/Sat_Data/circuit_fuzz/fuzz_100_7675.cnf
29,/home/manastac/benchmarks/instances/sat/data/CIRCUITFUZZ-CSSC14/instances/Sat_Data/circuit_fuzz/fuzz_100_570.cnf
30,/home/manastac/benchmarks/instances/sat/data/CIRCUITFUZZ-CSSC14/instances/Sat_Data/circuit_fuzz/fuzz_100_23258.cnf
